Start,End,Speaker,Text
0 days 00:00:00,0 days 00:00:05,SPEAKER 1, CNN has decided not to run a Donald Trump endorsed campaign ad after the network decided
0 days 00:00:05,0 days 00:00:08,SPEAKER 1, it does not meet their standards.
0 days 00:00:08,0 days 00:00:14,SPEAKER 1, The 32nd advertisement paid for by Trump's campaign targeted Joe Biden's conduct toward
0 days 00:00:14,0 days 00:00:19,SPEAKER 1," Ukraine while he served as vice president, while also referring to CNN personalities Don"
0 days 00:00:19,0 days 00:00:23,SPEAKER 1," Lemon, Chris Cuomo, and Jim Acosta as media lap dogs."
0 days 00:00:23,0 days 00:00:27,SPEAKER 1, A CNN spokesperson spoke to THR saying the ad does not meet the network's advertising
0 days 00:00:27,0 days 00:00:33,SPEAKER 1," standards, adding, in addition to disparaging CNN and its journalists, the ad makes assertions"
0 days 00:00:33,0 days 00:00:37,SPEAKER 1," that have been proven demonstrably false by various news outlets, including CNN."
0 days 00:00:37,0 days 00:00:41,SPEAKER 1," However, despite CNN's rejection, the president posted the advertisement onto his Twitter"
0 days 00:00:41,0 days 00:00:45,SPEAKER 1," page last week, along with the caption, I'm draining the swamp."
0 days 00:00:45,0 days 00:00:49,SPEAKER 1," Now, this is not the first time CNN has rejected a Trump campaign ad."
0 days 00:00:49,0 days 00:00:53,SPEAKER 1," Back in 2017, the network refused to run a Trump-approved ad called, Let President Trump"
0 days 00:00:53,0 days 00:00:58,SPEAKER 1," do his job, which criticized the media and specifically called out Lemon as well as Anderson"
0 days 00:00:58,0 days 00:00:59,SPEAKER 2, Cooper.
0 days 00:00:59,0 days 00:01:03,SPEAKER 1," To stay up to date on this story, hit the THR dot com and until next time for The Hollywood"
0 days 00:01:03,0 days 00:01:04,SPEAKER 1," Reporter News, I'm Aha Joy."
