Start,End,Speaker,Text
0 days 00:00:00,0 days 00:00:10,SPEAKER 2," I think if you're a leader and you don't understand the terms that you're using, that's probably"
0 days 00:00:10,0 days 00:00:11,SPEAKER 2, the first start.
0 days 00:00:11,0 days 00:00:15,SPEAKER 2, It's really important that as a leader in the organisation you understand what digitisation
0 days 00:00:15,0 days 00:00:19,SPEAKER 2," means, you take the time to read widely in the sector."
0 days 00:00:19,0 days 00:00:23,SPEAKER 2," There are a lot of really good books, Kevin Kelly, who started Wide Magazine has written a"
0 days 00:00:23,0 days 00:00:26,SPEAKER 2, great book on various technologies.
0 days 00:00:26,0 days 00:00:31,SPEAKER 2," I think understanding the technologies, understanding what's out there so that you can separate the"
0 days 00:00:31,0 days 00:00:35,SPEAKER 2, hype from the hope is really an important first step.
0 days 00:00:35,0 days 00:00:39,SPEAKER 2, And then making sure you understand the relevance of that for your function and how that fits
0 days 00:00:39,0 days 00:00:41,SPEAKER 2, into your business is the second step.
0 days 00:00:41,0 days 00:00:49,SPEAKER 1," I think two simple suggestions, one is, I love the phrase brilliant at the basics, right?"
0 days 00:00:49,0 days 00:00:52,SPEAKER 1, So how can you become brilliant at the basics?
0 days 00:00:52,0 days 00:00:59,SPEAKER 1," But beyond that, the fundamental thing I've seen which hasn't changed is so few organisations"
0 days 00:00:59,0 days 00:01:02,SPEAKER 1, as a first step have truly taken control of their spend data.
0 days 00:01:02,0 days 00:01:08,SPEAKER 1," You know, as a key first step on the digital transformation, taking ownership of data."
0 days 00:01:08,0 days 00:01:12,SPEAKER 1, And that's not a decision to use one vendor over someone else.
0 days 00:01:12,0 days 00:01:16,SPEAKER 1," That says, we are going to be completely data driven, we're going to try and be as real time"
0 days 00:01:16,0 days 00:01:20,SPEAKER 1," as possible, and we're going to be able to explain that data to anyone the way they want"
0 days 00:01:20,0 days 00:01:21,SPEAKER 1, to see it.
0 days 00:01:21,0 days 00:01:25,SPEAKER 1, Understand why you're doing it.
0 days 00:01:25,0 days 00:01:32,SPEAKER 1," And then the second thing is, reach out to suppliers in the market to talk to them, collaborate"
0 days 00:01:32,0 days 00:01:33,SPEAKER 1, with them.
0 days 00:01:33,0 days 00:01:35,SPEAKER 1, You'll get a much better outcome.
0 days 00:01:35,0 days 00:01:42,SPEAKER 1," Think about what outcome you want at the end, instead of thinking about the different processes"
0 days 00:01:42,0 days 00:01:48,SPEAKER 1," and their software names, so esourcing being one of 20."
0 days 00:01:48,0 days 00:01:55,SPEAKER 1," Think being brave, I think, and talk to technology vendors because rather than just sending"
0 days 00:01:55,0 days 00:01:59,SPEAKER 1," them forms, we won't bite you."
0 days 00:01:59,0 days 00:02:05,SPEAKER 1," I think we should fundamentally, all of us, we think how procurement should be done and"
0 days 00:02:05,0 days 00:02:11,SPEAKER 1, then start to define the functionality that we need and how we can make this work.
0 days 00:02:11,0 days 00:02:16,SPEAKER 1, What we're doing today is absolutely wrong.
0 days 00:02:16,0 days 00:02:21,SPEAKER 1," We don't like it, procurement people don't like it, our colleagues don't like it, nobody"
0 days 00:02:21,0 days 00:02:25,SPEAKER 1, wants it and we're spending a huge amount of money for no reason.
