Start,End,Speaker,Text
0 days 00:00:00,0 days 00:00:03,SPEAKER 1, The speaker uses the words cover-up.
0 days 00:00:03,0 days 00:00:05,SPEAKER 1, The president walks out.
0 days 00:00:05,0 days 00:00:10,SPEAKER 1," A political drama played out in Washington today, as President Trump demanded that congressional"
0 days 00:00:10,0 days 00:00:22,SPEAKER 1, Democrats give up on investigations and any consideration of an impeachment inquiry.
0 days 00:00:22,0 days 00:00:28,SPEAKER 1," House Speaker Nancy Pelosi did not call for impeachment proceedings today, as she left a closed-door"
0 days 00:00:28,0 days 00:00:30,SPEAKER 1, meeting with House Democrats.
0 days 00:00:30,0 days 00:00:31,SPEAKER 1, But she had a firm message.
0 days 00:00:31,0 days 00:00:36,SPEAKER 1, And we believe that the president of the United States is engaged in a cover-up.
0 days 00:00:36,0 days 00:00:39,SPEAKER 1," Hours later, in the Rose Garden, President Trump reacted."
0 days 00:00:39,0 days 00:00:41,SPEAKER 1, I don't do cover-ups.
0 days 00:00:41,0 days 00:00:48,SPEAKER 1," He accused Pelosi and Senate Minority Leader Chuck Schumer of, in effect, bad faith before"
0 days 00:00:48,0 days 00:00:52,SPEAKER 1, what was supposed to be a White House meeting about infrastructure.
0 days 00:00:52,0 days 00:00:58,SPEAKER 1," And added, he won't work with Democrats on that issue or anything else, until investigations"
0 days 00:00:58,0 days 00:00:59,SPEAKER 1, into him ceased.
0 days 00:00:59,0 days 00:01:01,SPEAKER 1, I want to do infrastructure.
0 days 00:01:01,0 days 00:01:03,SPEAKER 1, But you know what?
0 days 00:01:03,0 days 00:01:05,SPEAKER 1, You can't do it under these circumstances.
0 days 00:01:05,0 days 00:01:10,SPEAKER 1, So get these phony investigations over with.
0 days 00:01:10,0 days 00:01:14,SPEAKER 1," Back at the Capitol, Pelosi and Schumer responded."
0 days 00:01:14,0 days 00:01:22,SPEAKER 1," He just took a pass, and it just makes me wonder why he did that."
0 days 00:01:22,0 days 00:01:25,SPEAKER 1," In any event, I pray for the president of the United States."
