Start,End,Speaker,Text
0 days 00:00:00,0 days 00:00:06,SPEAKER 2, The weight is almost over. The first televised face-off between Hillary Clinton and Donald
0 days 00:00:06,0 days 00:00:12,SPEAKER 2, Trump will get underway in less than four hours from now. It's expected to be the most watched
0 days 00:00:12,0 days 00:00:17,SPEAKER 2, presidential debate in history and could even rival ratings seen during the Super Bowl.
0 days 00:00:17,0 days 00:00:18,SPEAKER 2, Yunshin reports.
0 days 00:00:20,0 days 00:00:26,SPEAKER 1, Their first historic base-off is almost here. Democratic presidential candidate Hillary Clinton and
0 days 00:00:26,0 days 00:00:31,SPEAKER 1, a Republican rival Donald Trump are gearing up for their first debate on Monday night in one of
0 days 00:00:31,0 days 00:00:38,SPEAKER 1," this century's most anticipated TV events. Moderated by NBC News anchor Lester Holt,"
0 days 00:00:38,0 days 00:00:42,SPEAKER 1, it's a 90-minute session starting at 9 p.m. at New York's Hofstra University.
0 days 00:00:42,0 days 00:00:48,SPEAKER 1, Clinton and Trump are expected to cover topics including foreign policy and national security issues.
0 days 00:00:49,0 days 00:00:54,SPEAKER 1, Clinton has three decades of experience in politics and a long history of high-profile debates.
0 days 00:00:55,0 days 00:00:59,SPEAKER 1," Last Wednesday, she put a pause on campaigning to prepare for the debate."
0 days 00:01:00,0 days 00:01:04,SPEAKER 1," And Donald Trump, who vanquished nearly a dozen opponents in the Republican debates,"
0 days 00:01:04,0 days 00:01:07,SPEAKER 1, has also been getting ready while on the campaign trail.
0 days 00:01:07,0 days 00:01:11,SPEAKER 1, It's reported that he's been studying Clinton's past debates to find flaws
0 days 00:01:11,0 days 00:01:16,SPEAKER 1," in her stances on national issues, with the help of Steve Venon, the CEO of the Trump campaign,"
0 days 00:01:16,0 days 00:01:22,SPEAKER 1," and others on his team. Just six weeks ahead of election day, the polls show the two candidates"
0 days 00:01:22,0 days 00:01:28,SPEAKER 1, neck and neck. A poll released on Sunday by ABC News on the Washington Post showed voters are
0 days 00:01:28,0 days 00:01:35,SPEAKER 1," split, with 46% for Clinton and 44% for Trump, well within the polls four and a half percentage point"
0 days 00:01:35,0 days 00:01:41,SPEAKER 1," margin of error. Described as debate of the century, Monday night's showdown is expected to draw more"
0 days 00:01:41,0 days 00:01:46,SPEAKER 1, than 100 million viewers in the States alone. And with the rest of the world eyeing this crucial
0 days 00:01:46,0 days 00:01:51,SPEAKER 1," point in the US election, it'll be streamed live online through platforms like YouTube."
0 days 00:01:52,0 days 00:01:54,SPEAKER 1," Ian Shit, Arirang News."
