Start,End,Speaker,Text
0 days 00:00:00,0 days 00:00:04,SPEAKER 1, Katrina Pearson has been all over TV saying outrageous things.
0 days 00:00:04,0 days 00:00:10,SPEAKER 1," Now, to be fair to her, she's out there as a surrogate for Donald Trump."
0 days 00:00:10,0 days 00:00:12,SPEAKER 1, It's a thankless job.
0 days 00:00:12,0 days 00:00:16,SPEAKER 1," The guy is a giant flip-flopper, says one crazy thing after another."
0 days 00:00:16,0 days 00:00:20,SPEAKER 1," So, now, he flip-flopped on his central issue, immigration."
0 days 00:00:20,0 days 00:00:22,SPEAKER 1," Before they got to go, we're going to kick them out, we're going to build a wall."
0 days 00:00:22,0 days 00:00:25,SPEAKER 1," Now, he says they can stay if they pay a little bit of taxes,"
0 days 00:00:25,0 days 00:00:30,SPEAKER 1," which, by the way, is no different than any of his Republican opponents in the primary."
0 days 00:00:30,0 days 00:00:32,SPEAKER 1, And he lit into them during the privacy.
0 days 00:00:32,0 days 00:00:34,SPEAKER 1," Oh, yeah, just pay a little bit of taxes."
0 days 00:00:34,0 days 00:00:35,SPEAKER 1," Oh, yeah, that's amnesty."
0 days 00:00:35,0 days 00:00:40,SPEAKER 1," Now, he's like, no, well, no, it's not amnesty as such, as such, right?"
0 days 00:00:40,0 days 00:00:42,SPEAKER 1," So, what the hell is Katrina Pearson going to say about it?"
0 days 00:00:42,0 days 00:00:44,SPEAKER 1," Well, this is funny. Let's watch."
0 days 00:00:45,0 days 00:00:47,SPEAKER 2, He hasn't changed his position on immigration.
0 days 00:00:47,0 days 00:00:50,SPEAKER 2, He's changed the words that he is saying.
0 days 00:00:50,0 days 00:00:52,SPEAKER 2," What he has always said from the beginning, he has changed."
0 days 00:00:52,0 days 00:00:55,SPEAKER 2," Is that he does not, that he, no, there's not a different message."
0 days 00:00:55,0 days 00:00:59,SPEAKER 2, He's using different words to give that message because everyone on the news is saying
0 days 00:01:00,0 days 00:01:01,SPEAKER 2, that he's a bigot.
0 days 00:01:04,0 days 00:01:04,SPEAKER 1, That was funny.
0 days 00:01:06,0 days 00:01:07,SPEAKER 1," No, no, it's not a different message."
0 days 00:01:07,0 days 00:01:09,SPEAKER 1, It's different words.
0 days 00:01:09,0 days 00:01:13,SPEAKER 1," Now, those different words say the exact opposite of the earlier words,"
0 days 00:01:14,0 days 00:01:18,SPEAKER 1, but still not a different message.
0 days 00:01:19,0 days 00:01:20,SPEAKER 1, Different words.
0 days 00:01:21,0 days 00:01:24,SPEAKER 1," Hey, if you're a Trump supporter, come on."
0 days 00:01:24,0 days 00:01:25,SPEAKER 1, You really believe her?
0 days 00:01:26,0 days 00:01:29,SPEAKER 1," No, seriously, you look at that and go, yeah, he nailed it, man."
0 days 00:01:29,0 days 00:01:33,SPEAKER 1," I mean, he was going to kick him out, but he's not anymore, but that's because it's just different words."
0 days 00:01:35,0 days 00:01:41,SPEAKER 1," Hey, maybe, maybe you're that shallow and you'll believe anything he says."
0 days 00:01:41,0 days 00:01:47,SPEAKER 1," But I'm pretty sure that most of you are not buying it, including the Trump supporters."
0 days 00:01:47,0 days 00:01:54,SPEAKER 1, But I think today are a little to a lot pissed that he's waffling and flip-flopping on the biggest
0 days 00:01:54,0 days 00:01:58,SPEAKER 1, issue he had. And you know why? Because of what she said at the end.
0 days 00:01:58,0 days 00:02:00,SPEAKER 1, Because most people see him as a bigot.
0 days 00:02:00,0 days 00:02:06,SPEAKER 1," So if you want to win an election, it helps to have most people on your side, not against you."
0 days 00:02:06,0 days 00:02:12,SPEAKER 1, So now he's abandoning you guys because he thinks you guys look like bigots too.
0 days 00:02:12,0 days 00:02:17,SPEAKER 1," And he's got to win an election. So hey, base. I'll see you later."
0 days 00:02:17,0 days 00:02:22,SPEAKER 1, But bye-bye doesn't mean I don't like you anymore. It's just different words.
0 days 00:02:22,0 days 00:02:26,SPEAKER 2," To catch our awesome post-game shows, join and become a member."
0 days 00:02:26,0 days 00:02:28,SPEAKER 2, tytnetwork.com slash join
