Start,End,Speaker,Text
0 days 00:00:00,0 days 00:00:04,SPEAKER 2," First up, our former South Carolina Republican Senator Tim Scott and Congressman"
0 days 00:00:04,0 days 00:00:05,SPEAKER 2, Trey Gowdy.
0 days 00:00:05,0 days 00:00:10,SPEAKER 2," They are out with a brand new book together on divisiveness in D.C., they say they got"
0 days 00:00:10,0 days 00:00:16,SPEAKER 2," the idea for the book after the 2015 church shooting in Charleston, South Carolina."
0 days 00:00:16,0 days 00:00:21,SPEAKER 2," The book is called Unified, How Our Unlikely Friendship Gives us Hope for a Divided Country."
0 days 00:00:21,0 days 00:00:24,SPEAKER 2," Joining me now, Senator Scott and Congressman Gowdy."
0 days 00:00:24,0 days 00:00:26,SPEAKER 2," So John, we're going to get to the book in just a moment."
0 days 00:00:26,0 days 00:00:32,SPEAKER 2," First up, a shooting brought the two of you together, a horrific tragedy in your home state."
0 days 00:00:32,0 days 00:00:35,SPEAKER 2, Are guns tearing us apart?
0 days 00:00:35,0 days 00:00:40,SPEAKER 1," I think the gun issue you could argue is, and I think there's a pretty reasonable way"
0 days 00:00:40,0 days 00:00:43,SPEAKER 1, to approach it is we just don't do it that way.
0 days 00:00:43,0 days 00:00:48,SPEAKER 1, Our approach to debating this is you don't support the second amendment and you support
0 days 00:00:48,0 days 00:00:49,SPEAKER 1, mass killings.
0 days 00:00:49,0 days 00:00:54,SPEAKER 1," And certainly there's something in the middle, I was a gun prosecutor for almost two decades."
0 days 00:00:54,0 days 00:00:59,SPEAKER 1," So what I always say is, how are we doing forcing the current panoply of gun laws that"
0 days 00:00:59,0 days 00:01:00,SPEAKER 1, we have?
0 days 00:01:00,0 days 00:01:04,SPEAKER 1," And the reality is, for eight years, even under President Obama, gun prosecutions went"
0 days 00:01:04,0 days 00:01:05,SPEAKER 1, down.
0 days 00:01:05,0 days 00:01:10,SPEAKER 1," So if you're advocating for a new group of laws to enforce, one of the first questions you're"
0 days 00:01:10,0 days 00:01:13,SPEAKER 1," going to get is, how are you doing with the current crop of laws?"
0 days 00:01:13,0 days 00:01:17,SPEAKER 1," And if the answer is not good, you have a hard time advocating for new ones."
0 days 00:01:17,0 days 00:01:19,SPEAKER 2," Sorry, I had to lean into your shop there."
0 days 00:01:19,0 days 00:01:20,SPEAKER 2, They had to grab something from my chair.
0 days 00:01:20,0 days 00:01:21,SPEAKER 2, It's a live show.
0 days 00:01:21,0 days 00:01:22,SPEAKER 2, It happens.
0 days 00:01:22,0 days 00:01:28,SPEAKER 2," But there are a lot of laws on the books, and there are a vast majority of gun owners"
0 days 00:01:28,0 days 00:01:35,SPEAKER 2," in this country are trained, they are self-aware, and they're very cognizant of those laws and"
0 days 00:01:35,0 days 00:01:36,SPEAKER 2, of gun safety.
0 days 00:01:36,0 days 00:01:42,SPEAKER 2, I think it's very disingenuous when we have tragedies like this to immediately spew talking
0 days 00:01:42,0 days 00:01:46,SPEAKER 2," points as we've seen from some of these CEOs is, Deirdre Bolton point out, how do we elevate"
0 days 00:01:46,0 days 00:01:47,SPEAKER 2, the conversation?
0 days 00:01:47,0 days 00:01:49,SPEAKER 1," Well, we have to get to the main."
0 days 00:01:49,0 days 00:01:53,SPEAKER 1," There is a common denominator that we should pay more attention to, and that's the mental"
0 days 00:01:53,0 days 00:01:55,SPEAKER 1, health of these shooters.
0 days 00:01:55,0 days 00:02:00,SPEAKER 1, The reality of it is that when you take a look at the one fight that seems to be pervasive
0 days 00:02:00,0 days 00:02:06,SPEAKER 1," after mass shooting, after mass shooting, there is a mental instability that is a part"
0 days 00:02:06,0 days 00:02:09,SPEAKER 1, and parcel to the actual conversation that we're not having.
0 days 00:02:09,0 days 00:02:11,SPEAKER 1, We're running to the weapon of choice.
0 days 00:02:11,0 days 00:02:17,SPEAKER 1," When, in fact, brothers, the bombs in Austin, shootings in Charleston, shootings in California,"
0 days 00:02:17,0 days 00:02:22,SPEAKER 1, the one thing that we basically see consistently are suicides that follow a lot of these shootings.
0 days 00:02:22,0 days 00:02:26,SPEAKER 1, I'd say that we're missing a key element and we should spend more time on that common
0 days 00:02:26,0 days 00:02:27,SPEAKER 2, denominator.
0 days 00:02:27,0 days 00:02:31,SPEAKER 2," And we do, but we also have to be careful not to paint mental illness with a broad brush"
0 days 00:02:31,0 days 00:02:37,SPEAKER 2, and not personify objects because I look at the person who tried to mow down and kill as
0 days 00:02:37,0 days 00:02:42,SPEAKER 2, many people as he could on Halloween in a car on a bike path here in New York City.
0 days 00:02:42,0 days 00:02:48,SPEAKER 2," I look at the Austin bomber, I look at the parkland shooter, and we don't know much about"
0 days 00:02:48,0 days 00:02:53,SPEAKER 2," the shooting today, but the element is these are people who are able to dehumanize other"
0 days 00:02:53,0 days 00:03:00,SPEAKER 2, people and they are so disconnected from human nature and the common bond that we have and
0 days 00:03:00,0 days 00:03:03,SPEAKER 2," that, as a parent that worries me."
0 days 00:03:03,0 days 00:03:07,SPEAKER 1, I think you said earlier Kennedy that you can't legislate against hate and it's very hard
0 days 00:03:07,0 days 00:03:11,SPEAKER 1, to see into the soul and see how dark that soul really is without being able to do those
0 days 00:03:11,0 days 00:03:12,SPEAKER 1, two things.
0 days 00:03:12,0 days 00:03:15,SPEAKER 1, You have to look for things that unify our country and find a rallying point.
0 days 00:03:15,0 days 00:03:18,SPEAKER 1, I think the common denominator is a very important part of the equation.
0 days 00:03:18,0 days 00:03:23,SPEAKER 1, I also think the conversation that we need to have as a country continues to unfold.
0 days 00:03:23,0 days 00:03:28,SPEAKER 1," Listen, less than a month ago we passed an expansion of the background check system in"
0 days 00:03:28,0 days 00:03:30,SPEAKER 1, the last legislative vehicle that passed through Congress.
0 days 00:03:30,0 days 00:03:35,SPEAKER 1," The reality of it is we continue to address the issue, but we're not addressing the fine"
0 days 00:03:35,0 days 00:03:38,SPEAKER 1, points within the issue because it's not popular yet.
0 days 00:03:38,0 days 00:03:42,SPEAKER 2," And also being disingenuous about it, saying things like we don't have any background checks."
0 days 00:03:42,0 days 00:03:44,SPEAKER 2, That's simply not true.
0 days 00:03:44,0 days 00:03:47,SPEAKER 2, What is true is I think people want us to come together.
0 days 00:03:47,0 days 00:03:49,SPEAKER 2, I think people want commonality.
0 days 00:03:49,0 days 00:03:53,SPEAKER 2, I think when people see the president sitting down with Chuck Schumer and Nancy Pelosi they're
0 days 00:03:53,0 days 00:03:58,SPEAKER 2," curious about it, but they want something positive and instructive to come from that."
