Start,End,Speaker,Text
0 days 00:00:00,0 days 00:00:01,SPEAKER 2, There's this.
0 days 00:00:01,0 days 00:00:05,SPEAKER 1," I have a little news that I'd like to give you as well, and it has to do with this program."
0 days 00:00:05,0 days 00:00:10,SPEAKER 1, I have been absolutely delighted for the last five years to be working with some of the
0 days 00:00:10,0 days 00:00:16,SPEAKER 1," most talented people in television news, just really stellar, stellar producers, writers,"
0 days 00:00:16,0 days 00:00:21,SPEAKER 1," researchers, reporters, just remarkable people here at CNN."
0 days 00:00:21,0 days 00:00:26,SPEAKER 1, And so it is really tough to tell you that I'm going to be leaving.
0 days 00:00:26,0 days 00:00:27,SPEAKER 1, Kind of.
0 days 00:00:27,0 days 00:00:31,SPEAKER 1," But I'm going to leave this time slot at 12 noon, and I'm going to make the jump and follow"
0 days 00:00:31,0 days 00:00:34,SPEAKER 1, my friends over at HLN.
0 days 00:00:34,0 days 00:00:38,SPEAKER 1," We've already heard that Michaela Perera has jumped over there, or Hills over there, Robin"
0 days 00:00:38,0 days 00:00:39,SPEAKER 1, need.
0 days 00:00:39,0 days 00:00:45,SPEAKER 1," So I'm going to jump over to Primetime on HLN 8 p.m. in the fall, super excited to do it."
0 days 00:00:45,0 days 00:00:50,SPEAKER 1, We're going to bring a really unique brand of social and legal issues oriented programming
0 days 00:00:50,0 days 00:00:52,SPEAKER 1, to that 8 p.m. spot.
0 days 00:00:52,0 days 00:00:56,SPEAKER 1," Lots more news and details about it will follow, but I just wanted to let you know what a privilege"
0 days 00:00:56,0 days 00:01:00,SPEAKER 1, it's been at 12 noon to be with you every day.
0 days 00:01:00,0 days 00:01:04,SPEAKER 1," And if you will just indulge me for a moment, you see me all the time, but you don't see Christina"
0 days 00:01:04,0 days 00:01:13,SPEAKER 1, or Sonya or Lindsay or Robin or Chris or Scotty or Gus and Alex and Ariel and Lamy and
0 days 00:01:13,0 days 00:01:16,SPEAKER 1," Tondu and Dave, this is my family."
0 days 00:01:16,0 days 00:01:21,SPEAKER 1, And every single day it is a delight to get up at 4.30 in the morning and be with them.
0 days 00:01:21,0 days 00:01:23,SPEAKER 1, And I say that honestly.
0 days 00:01:23,0 days 00:01:27,SPEAKER 1, So thank you for being here at 12 noon every day.
0 days 00:01:27,0 days 00:01:31,SPEAKER 1," Still going to be here for a few more weeks from the 23rd, it will be our last program here."
0 days 00:01:31,0 days 00:01:37,SPEAKER 1," But I'll be seeing you over on HLN at 8 p.m., very exciting time for us all here at CNN and"
0 days 00:01:37,0 days 00:01:38,SPEAKER 1, HLN.
0 days 00:01:38,0 days 00:01:41,SPEAKER 1, And I will still be doing a lot of stuff on CNN as well.
0 days 00:01:41,0 days 00:01:48,SPEAKER 1, I'll be bringing legal analysis and I'll be guest representing and talking about the stories
0 days 00:01:48,0 days 00:01:52,SPEAKER 1," of the day, the justice oriented issues of the day over here on CNN's programming."
0 days 00:01:52,0 days 00:01:56,SPEAKER 1, So I'm not going very far and I'll still be working with all of these extraordinary
0 days 00:01:56,0 days 00:01:58,SPEAKER 1, people on a pretty regular basis.
0 days 00:01:58,0 days 00:02:00,SPEAKER 1," For now, that's it for today."
0 days 00:02:00,0 days 00:02:01,SPEAKER 1, I've said enough.
