Start,End,Speaker,Text
0 days 00:00:00,0 days 00:00:07,SPEAKER 1," Even if what Van and the White House are saying is all true, the scare tactics have"
0 days 00:00:07,0 days 00:00:08,SPEAKER 1, not worked.
0 days 00:00:08,0 days 00:00:09,SPEAKER 1, Okay.
0 days 00:00:09,0 days 00:00:10,SPEAKER 1, Let's do it before you go on.
0 days 00:00:10,0 days 00:00:11,SPEAKER 1," Well, no, let me finish my question."
0 days 00:00:11,0 days 00:00:12,SPEAKER 1, Let's talk about the facts.
0 days 00:00:12,0 days 00:00:13,SPEAKER 1, You're saying the truth.
0 days 00:00:13,0 days 00:00:14,SPEAKER 1," No, no, no, no."
0 days 00:00:14,0 days 00:00:15,SPEAKER 1," Let me finish my question, Bill."
0 days 00:00:15,0 days 00:00:17,SPEAKER 1, I want you to take a look at this polling.
0 days 00:00:17,0 days 00:00:24,SPEAKER 1, Only about 36% of Americans think global warming is a serious threat to our way of life.
0 days 00:00:24,0 days 00:00:27,SPEAKER 1," Now again, let me, let me pause it."
0 days 00:00:27,0 days 00:00:32,SPEAKER 1," One thing that Van and the White House have said is true, however, the scare tactics have"
0 days 00:00:32,0 days 00:00:37,SPEAKER 1, not worked and don't you need public consensus to move the needle on this.
0 days 00:00:37,0 days 00:00:41,SPEAKER 1," So how do you want to get public consensus by saying that it's not happening, that it's"
0 days 00:00:41,0 days 00:00:43,SPEAKER 1," not serious, that shorelines aren't flooding?"
0 days 00:00:43,0 days 00:00:48,SPEAKER 1," No, I want you to advise the politics because they're not, whatever they're doing, whatever"
0 days 00:00:48,0 days 00:00:52,SPEAKER 1, Van is doing to scare the public is not changing the public.
0 days 00:00:52,0 days 00:00:53,SPEAKER 1, Inform the public.
0 days 00:00:53,0 days 00:00:54,SPEAKER 1, Go right ahead.
0 days 00:00:54,0 days 00:00:57,SPEAKER 1, Tell us how to use the science to actually change public consensus.
0 days 00:00:57,0 days 00:01:00,SPEAKER 1," Well, I think you get the message out that this is serious business."
0 days 00:01:00,0 days 00:01:05,SPEAKER 1," And, you know, if you live in Oklahoma where tornadoes have wiped your town out a couple"
0 days 00:01:05,0 days 00:01:06,SPEAKER 1, of times.
0 days 00:01:06,0 days 00:01:12,SPEAKER 1," And you chose Alaska, which is remote, generally, but when you start, remember Hurricane Sandy?"
0 days 00:01:12,0 days 00:01:14,SPEAKER 1, The bottom half of Manhattan was flooded.
0 days 00:01:14,0 days 00:01:19,SPEAKER 1," The economic effect of that alone is enormous, let alone the rebuilding infrastructure and"
0 days 00:01:19,0 days 00:01:20,SPEAKER 1, so on.
0 days 00:01:20,0 days 00:01:24,SPEAKER 1, And we're in the developed world where people can get on the highway and drive.
0 days 00:01:24,0 days 00:01:28,SPEAKER 1," You know, when you say moving a highway four feet, it doesn't sound like very much, but you're"
0 days 00:01:28,0 days 00:01:33,SPEAKER 1, talking about millions of tons of road that have to be lifted and that energy has to come from
0 days 00:01:33,0 days 00:01:34,SPEAKER 1, somewhere.
0 days 00:01:34,0 days 00:01:36,SPEAKER 1, And that's just the start of things.
0 days 00:01:36,0 days 00:01:41,SPEAKER 1," And so when we start having crop failures and the drought that's in California continues,"
0 days 00:01:41,0 days 00:01:42,SPEAKER 1, the economic cost.
0 days 00:01:42,0 days 00:01:45,SPEAKER 2," Yeah, well, you can look at these things and you can look at the climate realities and even"
0 days 00:01:45,0 days 00:01:49,SPEAKER 2, this NCA report says that the trend on tornadoes isn't certain.
0 days 00:01:49,0 days 00:01:52,SPEAKER 2, The IPCC report says that the trend on hurricanes is uncertain.
0 days 00:01:52,0 days 00:01:53,SPEAKER 2, We're in the longest hurricane drought.
0 days 00:01:53,0 days 00:01:54,SPEAKER 2, I'm not a denier.
0 days 00:01:54,0 days 00:01:56,SPEAKER 2, I'm not a skeptic.
0 days 00:01:56,0 days 00:01:58,SPEAKER 2, What I'm saying is the climate is changing.
0 days 00:01:58,0 days 00:02:02,SPEAKER 2," Yes, man made emissions are in some part to that, but we haven't seen these extreme weather"
0 days 00:02:02,0 days 00:02:03,SPEAKER 2, event trends.
0 days 00:02:03,0 days 00:02:04,SPEAKER 2, The observed data doesn't prove that.
0 days 00:02:04,0 days 00:02:10,SPEAKER 2," So I just, importantly, is the policy prescriptions, these greenhouse gas regulations coming down prohibiting"
0 days 00:02:10,0 days 00:02:14,SPEAKER 2," building new coal fire power plants is just going to make us less equipped, less economically"
0 days 00:02:14,0 days 00:02:18,SPEAKER 2," prosperous to handle these problems, whether they're, you know, more frequent and more"
0 days 00:02:18,0 days 00:02:19,SPEAKER 1, tight.
0 days 00:02:19,0 days 00:02:21,SPEAKER 1," So let's just start with we don't agree on the facts, right?"
0 days 00:02:21,0 days 00:02:24,SPEAKER 1," So this, this third report came out saying it's very serious."
0 days 00:02:24,0 days 00:02:25,SPEAKER 1," You say no, right?"
0 days 00:02:25,0 days 00:02:30,SPEAKER 1," That's there's the essence of the problem, messy science, the researchers say yes."
0 days 00:02:30,0 days 00:02:36,SPEAKER 2," You, not all the researchers, and again, even the IPCC says that there's no frequency or"
0 days 00:02:36,0 days 00:02:40,SPEAKER 2," intensity when it comes to hurricane hurricane, hurricane, if I may."
0 days 00:02:40,0 days 00:02:42,SPEAKER 2, This one says about tornadoes.
0 days 00:02:42,0 days 00:02:43,SPEAKER 2, That's the same thing.
0 days 00:02:43,0 days 00:02:45,SPEAKER 2," I was rising, although it's, it's retracted."
0 days 00:02:45,0 days 00:02:49,SPEAKER 2, It's increasing at a slower rate over the past few years.
0 days 00:02:49,0 days 00:02:52,SPEAKER 2, We've had Arctic ice globally increasing.
0 days 00:02:52,0 days 00:02:53,SPEAKER 1," I think the data, I think."
0 days 00:02:53,0 days 00:02:54,SPEAKER 2," No, not, not absolutely."
0 days 00:02:54,0 days 00:02:55,SPEAKER 1, Why did this all work out?
0 days 00:02:55,0 days 00:03:00,SPEAKER 1," But Bill, isn't a problem when science guys attempt to bully other people?"
0 days 00:03:00,0 days 00:03:03,SPEAKER 1," I mean, Nick here had to say, I'm not a denier."
0 days 00:03:03,0 days 00:03:04,SPEAKER 1, He had to get it up.
0 days 00:03:04,0 days 00:03:10,SPEAKER 1, I'm not a denier because really the science group has tried to shame anyone who dares question
0 days 00:03:10,0 days 00:03:11,SPEAKER 1, this.
0 days 00:03:12,0 days 00:03:14,SPEAKER 1, It's not working with the public.
0 days 00:03:14,0 days 00:03:15,SPEAKER 2, What?
