Start,End,Speaker,Text
0 days 00:00:00,0 days 00:00:05,SPEAKER 2," Recently, a CNN appearance got a little heated for understandable reasons."
0 days 00:00:05,0 days 00:00:08,SPEAKER 2, This is going to be between Harry Hook and Mark Lamont Hill.
0 days 00:00:09,0 days 00:00:11,SPEAKER 2, Hook is going to say some outrageous things.
0 days 00:00:12,0 days 00:00:14,SPEAKER 2, Mark Lamont Hill is going to calm down on it.
0 days 00:00:14,0 days 00:00:16,SPEAKER 2, It's going to get a little loud.
0 days 00:00:16,0 days 00:00:20,SPEAKER 2," And afterwards, I am going to give you the actual facts and figures to show you who's right and who's wrong."
0 days 00:00:20,0 days 00:00:21,SPEAKER 1, What's wrong?
0 days 00:00:21,0 days 00:00:25,SPEAKER 1, Then this thing about the disparity of blacks and whites and jails.
0 days 00:00:25,0 days 00:00:29,SPEAKER 1, That's got to stop because I got statistics right here which will prove me right.
0 days 00:00:30,0 days 00:00:32,SPEAKER 1," In New York, to be alone, okay?"
0 days 00:00:32,0 days 00:00:37,SPEAKER 1, Blacks are 23% they make up the population.
0 days 00:00:37,0 days 00:00:43,SPEAKER 1," 75% of all shootings, 70% of all robberies, and 60% of all violent crimes."
0 days 00:00:43,0 days 00:00:44,SPEAKER 1, All right?
0 days 00:00:44,0 days 00:00:46,SPEAKER 1, The whites only 3%.
0 days 00:00:46,0 days 00:00:51,SPEAKER 1," Now, that is why there were more blacks and jails than there are whites."
0 days 00:00:51,0 days 00:00:52,SPEAKER 1, That's okay.
0 days 00:00:52,0 days 00:00:54,SPEAKER 1, And now we just finished here and then we go right.
0 days 00:00:54,0 days 00:00:56,SPEAKER 1, So we look at that statistic.
0 days 00:00:56,0 days 00:00:57,SPEAKER 1, All right.
0 days 00:00:57,0 days 00:01:00,SPEAKER 1," They turn it around, you know, the racial demagogues out there."
0 days 00:01:00,0 days 00:01:03,SPEAKER 1, Turn it around that the blacks are being picked on.
0 days 00:01:03,0 days 00:01:04,SPEAKER 1," Guys, how are you still in national TV?"
0 days 00:01:04,0 days 00:01:06,SPEAKER 1, I said the black people are prone to criminal.
0 days 00:01:06,0 days 00:01:07,SPEAKER 1," I want to be able to respond to that, okay?"
0 days 00:01:07,0 days 00:01:08,SPEAKER 1," Well, they are."
0 days 00:01:08,0 days 00:01:10,SPEAKER 1, But you think black people are prone to criminality?
0 days 00:01:10,0 days 00:01:12,SPEAKER 1, The statistics are in the show.
0 days 00:01:12,0 days 00:01:12,SPEAKER 1, You don't mean to say that.
0 days 00:01:12,0 days 00:01:13,SPEAKER 1, I'm going to give you a chance to correct you.
0 days 00:01:13,0 days 00:01:16,SPEAKER 1, You don't mean the black people are prone to criminality.
0 days 00:01:16,0 days 00:01:17,SPEAKER 1, What is this saying?
0 days 00:01:17,0 days 00:01:19,SPEAKER 1," I don't know that said, but I know."
0 days 00:01:19,0 days 00:01:21,SPEAKER 1, The chief can back me up because he's coming up.
0 days 00:01:21,0 days 00:01:23,SPEAKER 1, He's not going to stay on national TV and say black people are prone to criminality.
0 days 00:01:23,0 days 00:01:24,SPEAKER 1, I am telling you.
0 days 00:01:24,0 days 00:01:29,SPEAKER 1," Well, I'm hoping you're just 75 percent of a student."
0 days 00:01:29,0 days 00:01:32,SPEAKER 1," When you're doing something else, I'm saying."
0 days 00:01:32,0 days 00:01:33,SPEAKER 1," Harry, you're narrative."
0 days 00:01:33,0 days 00:01:34,SPEAKER 1, That's what you do.
0 days 00:01:34,0 days 00:01:35,SPEAKER 1, I'm just trying to talk.
0 days 00:01:35,0 days 00:01:36,SPEAKER 1," Harry, hold on, was it?"
0 days 00:01:36,0 days 00:01:36,SPEAKER 1, Hold on.
0 days 00:01:36,0 days 00:01:37,SPEAKER 1, I think you just don't approach them.
0 days 00:01:37,0 days 00:01:38,SPEAKER 1, I think it makes sense.
0 days 00:01:38,0 days 00:01:39,SPEAKER 1," First of all, I'm not going to be able to respond to blacks."
0 days 00:01:39,0 days 00:01:41,SPEAKER 1, I'm going to point you crown because I don't believe it.
0 days 00:01:41,0 days 00:01:41,SPEAKER 1, And it's not true.
0 days 00:01:41,0 days 00:01:42,SPEAKER 1, That's the first.
0 days 00:01:42,0 days 00:01:42,SPEAKER 1," Of course, not true."
0 days 00:01:42,0 days 00:01:43,SPEAKER 1, It's the second thing.
0 days 00:01:43,0 days 00:01:44,SPEAKER 1, I have a slave deficit.
0 days 00:01:44,0 days 00:01:44,SPEAKER 1, It's not right.
0 days 00:01:44,0 days 00:01:46,SPEAKER 1, Just say the black people are prone to criminality.
0 days 00:01:46,0 days 00:01:47,SPEAKER 1, How would I say?
0 days 00:01:48,0 days 00:01:49,SPEAKER 2," No, that is what you said."
0 days 00:01:49,0 days 00:01:50,SPEAKER 2, Are you seeing?
0 days 00:01:50,0 days 00:01:51,SPEAKER 1, I'm fine.
0 days 00:01:51,0 days 00:01:51,SPEAKER 2, Hill asked them.
0 days 00:01:51,0 days 00:01:54,SPEAKER 2, Are you saying black people are prone to criminality?
0 days 00:01:54,0 days 00:01:55,SPEAKER 2," And you said, yes, of course."
0 days 00:01:56,0 days 00:01:57,SPEAKER 2," OK, I mean, go rewind."
0 days 00:01:57,0 days 00:01:58,SPEAKER 2," Get the exact wording, right?"
0 days 00:01:58,0 days 00:01:59,SPEAKER 2, It's untamed.
0 days 00:01:59,0 days 00:02:01,SPEAKER 2, We just showed it to you.
0 days 00:02:01,0 days 00:02:03,SPEAKER 2," All right, so, all right."
0 days 00:02:03,0 days 00:02:06,SPEAKER 2," Now, he threw out a series of stats there."
0 days 00:02:06,0 days 00:02:09,SPEAKER 2," And by the way, Harry hooks a former NYPD detective."
0 days 00:02:09,0 days 00:02:10,SPEAKER 2, God help us solve it.
0 days 00:02:10,0 days 00:02:12,SPEAKER 2, These are the cops that are overlooking all of us.
0 days 00:02:12,0 days 00:02:14,SPEAKER 2," Well, black people are arrested more."
0 days 00:02:14,0 days 00:02:15,SPEAKER 2, OK.
0 days 00:02:15,0 days 00:02:18,SPEAKER 2," Well, now I had a former Baltimore cop on the young church."
0 days 00:02:18,0 days 00:02:20,SPEAKER 2," Michael A. Wood Jr., who explained,"
0 days 00:02:20,0 days 00:02:22,SPEAKER 2," yeah, part of the reason for that is,"
0 days 00:02:22,0 days 00:02:24,SPEAKER 2," we all only go and are asked people in black neighborhoods,"
0 days 00:02:24,0 days 00:02:26,SPEAKER 2, because we're afraid that if we arrest people
0 days 00:02:26,0 days 00:02:27,SPEAKER 2," in the rich white neighborhoods,"
0 days 00:02:27,0 days 00:02:28,SPEAKER 2, we're going to get in trouble.
0 days 00:02:28,0 days 00:02:30,SPEAKER 2, And we don't want to hit a judge's son.
0 days 00:02:30,0 days 00:02:31,SPEAKER 2, We don't want to hit someone powerful.
0 days 00:02:31,0 days 00:02:32,SPEAKER 2, So you go pick out the powerless.
0 days 00:02:33,0 days 00:02:34,SPEAKER 2," OK, they don't give you that context,"
0 days 00:02:34,0 days 00:02:36,SPEAKER 2, but I'm going to give you all of the context
0 days 00:02:36,0 days 00:02:37,SPEAKER 2, because I'm going to give you the numbers.
0 days 00:02:37,0 days 00:02:40,SPEAKER 2, So the Washington Post.
0 days 00:02:40,0 days 00:02:42,SPEAKER 2, Black Americans are two and a half times
0 days 00:02:42,0 days 00:02:44,SPEAKER 2, as likely as white Americans
0 days 00:02:44,0 days 00:02:46,SPEAKER 2, to be shot and killed by police officers.
0 days 00:02:47,0 days 00:02:49,SPEAKER 2," OK, so that's a fact."
0 days 00:02:49,0 days 00:02:52,SPEAKER 2, On-arm black Americans were five times as likely
0 days 00:02:52,0 days 00:02:54,SPEAKER 2, as unarmed white Americans
0 days 00:02:54,0 days 00:02:56,SPEAKER 2, to be shot and killed by a police officer.
0 days 00:02:56,0 days 00:02:57,SPEAKER 2, So now they're both unarmed.
0 days 00:02:58,0 days 00:03:00,SPEAKER 2," In that, for that study,"
0 days 00:03:00,0 days 00:03:02,SPEAKER 2, they're looking at just people
0 days 00:03:02,0 days 00:03:03,SPEAKER 2, who were shot by cops who were unarmed.
0 days 00:03:04,0 days 00:03:06,SPEAKER 2, Black people were five times as likely to be shot
0 days 00:03:06,0 days 00:03:07,SPEAKER 2, even though they were unarmed.
0 days 00:03:08,0 days 00:03:11,SPEAKER 2," OK, so now they'll say, oh, yeah,"
0 days 00:03:11,0 days 00:03:12,SPEAKER 2, blacks are prone to criminality.
0 days 00:03:12,0 days 00:03:13,SPEAKER 2, That's why we had to shoot them.
0 days 00:03:13,0 days 00:03:15,SPEAKER 2," But in that case, they were unarmed."
0 days 00:03:16,0 days 00:03:17,SPEAKER 2, There was no criminality.
