Start,End,Speaker,Text
0 days 00:00:00,0 days 00:00:03,SPEAKER 1," Hello, I'm Julia. Welcome to the Mind Matters panel."
0 days 00:00:03,0 days 00:00:05,SPEAKER 1," Pam Leo once said,"
0 days 00:00:05,0 days 00:00:08,SPEAKER 1, let's raise children who won't have to recover from their childhood.
0 days 00:00:08,0 days 00:00:10,SPEAKER 1," Hmm, good advice."
0 days 00:00:10,0 days 00:00:12,SPEAKER 1," But if we're going to do the same thing with teenagers,"
0 days 00:00:12,0 days 00:00:14,SPEAKER 1, we're going to need a resilient strategy.
0 days 00:00:14,0 days 00:00:17,SPEAKER 1," To help us figure out which one to choose, I'm joined by"
0 days 00:00:17,0 days 00:00:20,SPEAKER 1," Clinical Psychologist and Family Therapist Andrew Fuller,"
0 days 00:00:20,0 days 00:00:23,SPEAKER 1," Teacher Nairisa Rodriguez,"
0 days 00:00:23,0 days 00:00:26,SPEAKER 1," Assistant Principal George Mazaris,"
0 days 00:00:26,0 days 00:00:28,SPEAKER 1, and Teacher Martin DeClurek.
0 days 00:00:28,0 days 00:00:30,SPEAKER 1," But of course, before we get started,"
0 days 00:00:30,0 days 00:00:33,SPEAKER 1, let's see what the staff at Eagleton have come up with.
0 days 00:00:33,0 days 00:00:36,SPEAKER 1, People say a resilience program is an magic bullet.
0 days 00:00:36,0 days 00:00:39,SPEAKER 1," Well clearly, those people haven't tried Belgian fire walking."
0 days 00:00:39,0 days 00:00:45,SPEAKER 1, I first saw it in a TED talk and I immediately ordered the whole kit.
0 days 00:00:45,0 days 00:00:47,SPEAKER 1, You should have seen people's faces.
0 days 00:00:47,0 days 00:00:53,SPEAKER 1," I mean, you use the term fire pit and people immediately think of fire license,"
0 days 00:00:53,0 days 00:00:58,SPEAKER 1," first-aid training, but in comparison to some other resilience programs,"
0 days 00:00:58,0 days 00:01:00,SPEAKER 1, this one is absolutely easy.
0 days 00:01:00,0 days 00:01:04,SPEAKER 1, All you need is a three by five space lighter fluid and a rake.
0 days 00:01:04,0 days 00:01:11,SPEAKER 1, They literally go from caring in fear to racing across these flesh-eating coals
0 days 00:01:11,0 days 00:01:13,SPEAKER 1, like little terminators.
0 days 00:01:13,0 days 00:01:15,SPEAKER 1, It's inspiring.
0 days 00:01:21,0 days 00:01:23,SPEAKER 1, Cameron had a little mishap in the fire pit.
0 days 00:01:23,0 days 00:01:26,SPEAKER 1," That hill bounce right back, won't you, Cameron?"
0 days 00:01:26,0 days 00:01:28,SPEAKER 1, It's all good.
0 days 00:01:29,0 days 00:01:30,SPEAKER 1, What a great program.
0 days 00:01:44,0 days 00:01:46,SPEAKER 1," Well, it still hurts."
0 days 00:01:53,0 days 00:01:55,SPEAKER 1, Did those students have their feed-in ice buckets?
0 days 00:01:55,0 days 00:01:57,SPEAKER 1, Phil's thought of everything.
0 days 00:01:57,0 days 00:01:59,SPEAKER 1, Where can I find his TED talk?
0 days 00:01:59,0 days 00:02:01,SPEAKER 1, I hope you enjoy my pineapple earrings.
0 days 00:02:01,0 days 00:02:03,SPEAKER 1, We're going to talk seriously now for a little while.
0 days 00:02:03,0 days 00:02:06,SPEAKER 1," Now, Belgian fire walking isn't for every school,"
0 days 00:02:06,0 days 00:02:09,SPEAKER 1, so what programs are out there and how do you choose the right one?
0 days 00:02:09,0 days 00:02:11,SPEAKER 2," Love the outfit, by the way. Thank you."
0 days 00:02:11,0 days 00:02:13,SPEAKER 2, It's good suiting you.
0 days 00:02:13,0 days 00:02:16,SPEAKER 2," Well, the first thing we know is that there are 40 key predictors"
0 days 00:02:16,0 days 00:02:19,SPEAKER 2, that predict residents and good outcomes for kids.
0 days 00:02:19,0 days 00:02:23,SPEAKER 2, And they can be loosely grouped into eight major areas.
0 days 00:02:23,0 days 00:02:25,SPEAKER 2, And so the first thing we really need to do
0 days 00:02:25,0 days 00:02:28,SPEAKER 2, is to assess where the kids stand
0 days 00:02:28,0 days 00:02:31,SPEAKER 2, in terms of their strengths in those areas.
0 days 00:02:31,0 days 00:02:33,SPEAKER 2," The first one is connected to adults,"
0 days 00:02:33,0 days 00:02:35,SPEAKER 2," the strength of relationships in the school,"
0 days 00:02:35,0 days 00:02:36,SPEAKER 2, or the community.
0 days 00:02:36,0 days 00:02:38,SPEAKER 2, The second one is empowerment.
0 days 00:02:38,0 days 00:02:41,SPEAKER 2, The third one really is boundaries and expectations.
0 days 00:02:41,0 days 00:02:42,SPEAKER 2, Do we expect much for you?
0 days 00:02:42,0 days 00:02:45,SPEAKER 2, Have they got clear boundaries in the family?
0 days 00:02:45,0 days 00:02:47,SPEAKER 2," Then, of course, there's school engagement."
