Start,End,Speaker,Text
0 days 00:00:00,0 days 00:00:04,SPEAKER 2," Well, we've said it what happened in Vegas won't be staying there of the nine Democratic"
0 days 00:00:04,0 days 00:00:09,SPEAKER 2, presidential debates so far. This one had some of the most memorable moments.
0 days 00:00:09,0 days 00:00:15,SPEAKER 2," Canada's ramping up attacks and a new face, former New York City Mayor Mike Bloomberg,"
0 days 00:00:15,0 days 00:00:19,SPEAKER 2, joining that crowded field. But were there any clear winners or losers tonight?
0 days 00:00:19,0 days 00:00:24,SPEAKER 2," We're back with our political experts, Republican Ryan Stuban-Rousch and Democrat Luke Gentile,"
0 days 00:00:24,0 days 00:00:30,SPEAKER 2, and I'm going to start with you. Did you think your party presented a clearer picture of who
0 days 00:00:30,0 days 00:00:35,SPEAKER 1, they should be voting for? I'm not sure it was all that much clear tonight. I'm
0 days 00:00:35,0 days 00:00:39,SPEAKER 1, not sure fundamentally this will change things headed into Nevada and South Carolina.
0 days 00:00:39,0 days 00:00:43,SPEAKER 1," I thought in the case of Vice President Joe Biden, he did what he needed to do,"
0 days 00:00:44,0 days 00:00:48,SPEAKER 1, surprised to see war and really indiscriminately go after just about everybody on the
0 days 00:00:48,0 days 00:00:54,SPEAKER 1, dius. Certainly Pete and Klobuchar had a lot of exchanges. I think Bloomberg seemed a little flat
0 days 00:00:54,0 days 00:00:59,SPEAKER 1, at the very beginning. Certainly got put in pinback on his heels and I think in the second part
0 days 00:00:59,0 days 00:01:05,SPEAKER 1, sort of reassert himself. I'm not sure other than maybe a little bit of shine may come off
0 days 00:01:05,0 days 00:01:09,SPEAKER 1," Bloomberg after this, but I'm not sure a lot of things change fundamentally."
0 days 00:01:09,0 days 00:01:16,SPEAKER 2, You know what we know is that he is setting himself up through campaign ads all across the country
0 days 00:01:16,0 days 00:01:22,SPEAKER 2, as being the smart alternative to Donald Trump. But did we see tonight someone who maybe will rise
0 days 00:01:22,0 days 00:01:28,SPEAKER 2, to the top for the Democrats or do we have two billionaires being attacked for their successes?
0 days 00:01:29,0 days 00:01:34,SPEAKER 1," I mean, I agree with Luke. Some of the shine comes off of Bloomberg and what we saw today is"
0 days 00:01:34,0 days 00:01:40,SPEAKER 1, not going to propel him to this nomination. I think it's still Bernie Sanders raised to lose.
0 days 00:01:40,0 days 00:01:45,SPEAKER 1, And the more I hear Bernie Sanders stand on national television and promise to put
0 days 00:01:45,0 days 00:01:49,SPEAKER 1," frackers in Ohio and Pennsylvania out of jobs, the better I think it is for Republicans."
0 days 00:01:49,0 days 00:01:55,SPEAKER 2," A lot of people are saying that Bernie Sanders, who is now the frontrunner in poll after poll,"
0 days 00:01:55,0 days 00:01:59,SPEAKER 2, including an NBC Wall Street Journal poll that came out yesterday that he can't do well in the
0 days 00:01:59,0 days 00:02:05,SPEAKER 2," state of Ohio, that some of his policies won't sit well with farmers, with frackers, with minors,"
0 days 00:02:05,0 days 00:02:10,SPEAKER 2," with people in manufacturing, and with some other people who want to hold on to their health care."
0 days 00:02:10,0 days 00:02:15,SPEAKER 1," I think on the issue of energy, I would encourage the entire party to take a different approach to"
0 days 00:02:15,0 days 00:02:20,SPEAKER 1, this. We're talking about thousands of union jobs building and construction trade jobs in multiple
0 days 00:02:21,0 days 00:02:26,SPEAKER 1," states, not just Ohio and not just in Southeast Ohio. So I think the entire Democratic party needs"
0 days 00:02:26,0 days 00:02:32,SPEAKER 1," to look at that issue as key to 2020. And I think, you know, Klobuchar and Biden seem to talk a little"
0 days 00:02:32,0 days 00:02:36,SPEAKER 1, bit better about what they would do with those workers in these states. And I think Vice President
0 days 00:02:36,0 days 00:02:41,SPEAKER 1," Biden talked about rebuilding the infrastructure, putting those individuals on those projects,"
0 days 00:02:41,0 days 00:02:45,SPEAKER 1, the building and construction trades workers. So I think we got to get that right. I was a little
0 days 00:02:45,0 days 00:02:50,SPEAKER 1," surprised that more fired it and get aimed towards Bernie Sanders, the front runner. There was"
0 days 00:02:50,0 days 00:02:56,SPEAKER 2," at times, but he's the guy at the top. Why aren't they going after him? They really were targeting"
0 days 00:02:56,0 days 00:03:03,SPEAKER 1," as much as anyone, Mike Bloomberg. Elizabeth Warren laid waste to everyone except for Bernie Sanders."
0 days 00:03:03,0 days 00:03:08,SPEAKER 1," The one person who's beating her and beating everyone, it doesn't make any sense. And like I said,"
0 days 00:03:08,0 days 00:03:13,SPEAKER 1," this is Bernie's to lose. And if no one wants to attack him, then Bernie's going to win the nomination."
0 days 00:03:13,0 days 00:03:19,SPEAKER 2," Well, the voters go to the polls later this week in Nevada. Mike Bloomberg is not on the ballot"
0 days 00:03:19,0 days 00:03:27,SPEAKER 2," there. So you have to wonder, after the performances tonight, what will we be seeing in two or three days"
