Start,End,Speaker,Text
0 days 00:00:00,0 days 00:00:03,SPEAKER 2, We've been seeing all of these diplomats testify on Capitol Hill.
0 days 00:00:03,0 days 00:00:07,SPEAKER 2," Mick Mulvaney really tried to minimize what we've been hearing from them,"
0 days 00:00:07,0 days 00:00:09,SPEAKER 2, but it was interesting how he tried to do it.
0 days 00:00:09,0 days 00:00:13,SPEAKER 2, He tried to do it by kind of not remembering most of their names.
0 days 00:00:13,0 days 00:00:14,SPEAKER 2, Let's listen.
0 days 00:00:16,0 days 00:00:18,SPEAKER 1, And I can never remember the gentleman who testified was McKinney.
0 days 00:00:18,0 days 00:00:19,SPEAKER 1," The guy, is that his name?"
0 days 00:00:19,0 days 00:00:20,SPEAKER 1, I don't know.
0 days 00:00:20,0 days 00:00:21,SPEAKER 1, He testified yesterday.
0 days 00:00:21,0 days 00:00:23,SPEAKER 1, I can't remember the person's name.
0 days 00:00:23,0 days 00:00:24,SPEAKER 1," The Durham. The Durham, OK?"
0 days 00:00:24,0 days 00:00:25,SPEAKER 2, Who said that?
0 days 00:00:25,0 days 00:00:27,SPEAKER 1, Who's George Kent?
0 days 00:00:27,0 days 00:00:28,SPEAKER 1," I'm sorry, I don't know who that is."
0 days 00:00:28,0 days 00:00:30,SPEAKER 1, Is that somebody who testified this week?
0 days 00:00:30,0 days 00:00:31,SPEAKER 1, Yes.
0 days 00:00:31,0 days 00:00:34,SPEAKER 1, I don't believe I've ever talked to anybody named George Kent in my life.
0 days 00:00:36,0 days 00:00:37,SPEAKER 2, What'd you think of that?
0 days 00:00:37,0 days 00:00:40,SPEAKER 2," I have to say, does he need a better role at X or..."
0 days 00:00:40,0 days 00:00:41,SPEAKER 2," No, I think..."
0 days 00:00:41,0 days 00:00:44,SPEAKER 1," I mean, first of all, you called him out on it,"
0 days 00:00:44,0 days 00:00:48,SPEAKER 1," but it's quite obvious what he is trying to do, which is..."
0 days 00:00:48,0 days 00:00:49,SPEAKER 1, Those people don't matter.
0 days 00:00:49,0 days 00:00:50,SPEAKER 1, That's right.
0 days 00:00:50,0 days 00:00:51,SPEAKER 1, Who are they?
0 days 00:00:51,0 days 00:00:52,SPEAKER 1, I wouldn't pick them out of London.
0 days 00:00:52,0 days 00:00:53,SPEAKER 2, And it's not McKinney.
0 days 00:00:53,0 days 00:00:54,SPEAKER 1," And it's McKinley. Right, well..."
0 days 00:00:54,0 days 00:00:55,SPEAKER 1, Just to be clear.
0 days 00:00:55,0 days 00:00:58,SPEAKER 1," And he was trying to say, it's not relevant."
0 days 00:00:58,0 days 00:00:59,SPEAKER 1, They would know...
0 days 00:00:59,0 days 00:01:01,SPEAKER 1," You know, know anything from..."
0 days 00:01:01,0 days 00:01:02,SPEAKER 1, From Adam.
0 days 00:01:02,0 days 00:01:03,SPEAKER 1, And that's it.
0 days 00:01:03,0 days 00:01:04,SPEAKER 2, That's the problem.
0 days 00:01:04,0 days 00:01:05,SPEAKER 2, That's the problem.
0 days 00:01:05,0 days 00:01:06,SPEAKER 2," The president says, I don't even know that person."
0 days 00:01:06,0 days 00:01:07,SPEAKER 2, Here's the problem.
0 days 00:01:07,0 days 00:01:08,SPEAKER 1, Even when it's...
0 days 00:01:08,0 days 00:01:10,SPEAKER 1, He's trying to diminish these people.
0 days 00:01:10,0 days 00:01:13,SPEAKER 1," But then you could flip that and say, well, shouldn't..."
0 days 00:01:13,0 days 00:01:17,SPEAKER 1, The White House Chief of Staff know a high-ranking official
0 days 00:01:17,0 days 00:01:19,SPEAKER 1, in the State Department?
0 days 00:01:19,0 days 00:01:20,SPEAKER 1, Shouldn't he know?
0 days 00:01:20,0 days 00:01:21,SPEAKER 2," I mean, these are..."
