Start,End,Speaker,Text
0 days 00:00:00,0 days 00:00:05,SPEAKER 2," Tonight, credibility crisis, the White House press secretary Sarah Sanders, pressed by reporters"
0 days 00:00:05,0 days 00:00:11,SPEAKER 2," for clarity on the hush money payment to stormy Daniels, gave very few real answers today."
0 days 00:00:13,0 days 00:00:17,SPEAKER 1, I would refer you back to the statements. Pretty lengthy statements made by
0 days 00:00:18,0 days 00:00:23,SPEAKER 1," Giuliani. Again, I can't get into the details of the ongoing litigation. I'd refer you back to"
0 days 00:00:23,0 days 00:00:27,SPEAKER 1, the president's outcast. I'm not part of the legal team and wouldn't be part of those discussions.
0 days 00:00:27,0 days 00:00:34,SPEAKER 2," Of course, Sanders has said the president was unaware of the hush money payment. So, was she lying"
0 days 00:00:34,0 days 00:00:41,SPEAKER 2, or was she truly just left in the dark? Legal team on legal strategy. You said you
0 days 00:00:41,0 days 00:00:46,SPEAKER 1," said lowly. I actually didn't use that term. Well, I said it, but you were blindsided at what you"
0 days 00:00:46,0 days 00:00:52,SPEAKER 1," said. Well, with all due respect, you actually don't know much about me in terms of what I feel and"
0 days 00:00:52,0 days 00:01:01,SPEAKER 2," what I don't. Okay, well, April is here. That's who you just saw. As you all know, if you watch"
0 days 00:01:01,0 days 00:01:04,SPEAKER 2," this show, you know April. And she was there asking the questions of Sarah Sanders, former senior"
0 days 00:01:04,0 days 00:01:08,SPEAKER 2," communications advisor for the Trump campaign, Jason Miller is here, also along with National"
0 days 00:01:08,0 days 00:01:13,SPEAKER 2," Affairs correspondent for the nation, Joan Walts. April, take us inside that room today. It was an"
0 days 00:01:13,0 days 00:01:17,SPEAKER 2, incredible press conference. We have not seen one like it. And this is an administration in which we
0 days 00:01:17,0 days 00:01:23,SPEAKER 2, have never seen anything like you deal with on a daily basis. How do you respond to? Exactly.
0 days 00:01:26,0 days 00:01:31,SPEAKER 1," Well, how do I respond? Well, basically, I listened to the entire press conference. That was the"
0 days 00:01:31,0 days 00:01:37,SPEAKER 1, last one. I guess I got my question in by default. But I listened to all the questions and all the
0 days 00:01:37,0 days 00:01:43,SPEAKER 1," answers. And the very beginning, the first two started off with the truthfulness of the president."
0 days 00:01:44,0 days 00:01:49,SPEAKER 1," And as well as Sarah, you know, it started going in on Sarah about what she knew and when."
0 days 00:01:49,0 days 00:01:53,SPEAKER 1," There's so many different stories that are now coming out. And Rudy Giuliani, the president's"
0 days 00:01:53,0 days 00:01:58,SPEAKER 1," attorney has not made it any easier after last night in this morning, just making it worse by talking"
0 days 00:01:58,0 days 00:02:04,SPEAKER 1," too much and giving this information that the White House did not know about. And from my sources,"
0 days 00:02:04,0 days 00:02:09,SPEAKER 1," the White House is very upset. And I've been told about this conversation, this phone call that they"
0 days 00:02:09,0 days 00:02:14,SPEAKER 1," had with him this morning, it was very contentious that he didn't feel that he needed to talk to the"
0 days 00:02:14,0 days 00:02:20,SPEAKER 1," White House about it. So she, from that podium, Sarah Huckabee Sanders herself said that she found out"
0 days 00:02:20,0 days 00:02:25,SPEAKER 1, about it while she was watching like all of us Fox News last night when Rudy Giuliani was there.
0 days 00:02:25,0 days 00:02:30,SPEAKER 1, So then knowing that from what she said and hearing from my sources about this call this morning about
0 days 00:02:30,0 days 00:02:35,SPEAKER 1," how the White House wanted information and really Giuliani was like, I don't have to give you anything,"
0 days 00:02:35,0 days 00:02:41,SPEAKER 1, that's where that question came from. You were blindsided. She acknowledged she did not know.
0 days 00:02:41,0 days 00:02:49,SPEAKER 1," And then to go into the personal, it was not personal. It was not personal. What it shows me is"
0 days 00:02:49,0 days 00:02:57,SPEAKER 1," is that she was feeling that she was in a vice, you know, a source. But she went straight to me to say"
0 days 00:02:57,0 days 00:03:03,SPEAKER 1," something like, you know, you don't know me. In certain sectors of this nation, people understand"
0 days 00:03:03,0 days 00:03:09,SPEAKER 1," what you don't know me means. It's very street and it leads to a fight, a physical fight. So I'm not"
0 days 00:03:09,0 days 00:03:14,SPEAKER 1," there to fight. I'm there to ask questions, been doing it for 21 years, very well. And I've had"
0 days 00:03:14,0 days 00:03:20,SPEAKER 1, relationships with press secretaries. I just don't seem to understand why these last two press secretaries
0 days 00:03:20,0 days 00:03:26,SPEAKER 2," like to point me out. So Jason, you know, what is your response? I mean, Sarah Sanders was blindsided."
0 days 00:03:26,0 days 00:03:30,SPEAKER 2," Let's just be clear. Okay. I mean, she was blindsided. Let me just play it to make everyone understand,"
0 days 00:03:30,0 days 00:03:34,SPEAKER 2, she shouldn't hear the first block. She had no idea this was coming. Here she is.
0 days 00:03:35,0 days 00:03:43,SPEAKER 1," When did you specifically know that the president repaid Mr. Cohen for the $130,000 you personally?"
0 days 00:03:44,0 days 00:03:47,SPEAKER 1, The first awareness I had was during the interview last night.
0 days 00:03:48,0 days 00:03:53,SPEAKER 2," Okay. April's description was accurate, Jason. What do you make of Sarah's response to her?"
0 days 00:03:53,0 days 00:03:58,SPEAKER 1," Yeah. Look, I thought Sarah did fantastic today. I mean, the fact that we're talking about Sarah not"
0 days 00:03:58,0 days 00:04:02,SPEAKER 1, making a bunch of news and that's actually driving the news. I don't think is necessarily a bad thing.
0 days 00:04:02,0 days 00:04:07,SPEAKER 1," I mean, the fact of the matter is this White House should have had, and this presidency should have had"
0 days 00:04:07,0 days 00:04:13,SPEAKER 1, an outside council that was handling these types of issues a year ago. This is not the job of the White
0 days 00:04:13,0 days 00:04:18,SPEAKER 1, House. This is not the job of the White House press secretary. Sarah does a fantastic job every single
0 days 00:04:18,0 days 00:04:23,SPEAKER 1," day, putting forth that, no, it is true. Sarah does a fantastic job of putting forth the information"
0 days 00:04:23,0 days 00:04:27,SPEAKER 1," that she has of what the White House does, and what's it with Bill Clinton?"
0 days 00:04:27,0 days 00:04:31,SPEAKER 1," April, why are you making it so personal? I think Sarah does spend the way you want to spend."
0 days 00:04:31,0 days 00:04:34,SPEAKER 1," Wow, that is. Wow. I'm going to take you personally because she attacked me."
0 days 00:04:34,0 days 00:04:36,SPEAKER 1," She attacked me for asking, you know what?"
0 days 00:04:36,0 days 00:04:40,SPEAKER 1, Don't go. They're like the 50% don't go. They're like the 50% don't go. They're like the 50% don't make it
0 days 00:04:40,0 days 00:04:44,SPEAKER 1," about me. Bill Clinton, attorney. Bill Clinton's attorney is in April."
0 days 00:04:44,0 days 00:04:48,SPEAKER 1," April, April, April, April. I'm not going to let you spend it."
0 days 00:04:48,0 days 00:04:51,SPEAKER 1," I'm not going to let you spend it. April, I'm sorry, I'm sorry that you're upset."
0 days 00:04:51,0 days 00:04:55,SPEAKER 1," I'm sorry that you're upset that Sarah wants to do for the podium, but don't take it out."
0 days 00:04:55,0 days 00:04:59,SPEAKER 2," Please let me finish Jason, and then you get your chance to respond to April."
0 days 00:04:59,0 days 00:05:03,SPEAKER 1," Okay, so the point is that Sarah is the White House. Sarah is the White House press secretary."
0 days 00:05:05,0 days 00:05:09,SPEAKER 1, So I don't get to finish? Do you not hear what she's saying? Do you not know not right now?
0 days 00:05:09,0 days 00:05:12,SPEAKER 1," Because you were talking, April, you weren't allowed to say anything."
0 days 00:05:12,0 days 00:05:17,SPEAKER 1," So here's what happened during the Clinton years, during the Clinton years when they had outside"
0 days 00:05:17,0 days 00:05:21,SPEAKER 1," attorneys and inside attorneys, the White House press shop somewhat knew what was going on"
0 days 00:05:21,0 days 00:05:26,SPEAKER 1," because they communicated. They did not tell them everything, but they knew the course of events"
0 days 00:05:26,0 days 00:05:31,SPEAKER 1, what was going on. This White House did not know. This president and Rudy Giuliani apparently
0 days 00:05:31,0 days 00:05:35,SPEAKER 1," have been talking, and this is some of the problem. This president, you know, with Scar Mucci and"
0 days 00:05:35,0 days 00:05:40,SPEAKER 1," others, they leave the other people out. They they talk amongst themselves and leave other people"
0 days 00:05:40,0 days 00:05:44,SPEAKER 1, out when Anthony Scar Mucci came. Other people didn't know what was going on. So they don't this
0 days 00:05:45,0 days 00:05:51,SPEAKER 1," bubble inside the bubble. Okay, the first word, the first word of outside counsel is outside."
0 days 00:05:51,0 days 00:05:56,SPEAKER 1," The first word of outside counsel is outside. So now they have a structure with Mayor Giuliani,"
0 days 00:05:56,0 days 00:06:01,SPEAKER 1," Marty and Jane Raskin, folks that are well, I'm explaining to you because clearly you don't get it."
0 days 00:06:01,0 days 00:06:05,SPEAKER 1, That's why you were like the fifth or so. This is the president of the United States of America.
0 days 00:06:05,0 days 00:06:10,SPEAKER 1, There's nothing outside when you're dealing with the American people and this kind of level of
0 days 00:06:10,0 days 00:06:16,SPEAKER 1," investigation. That's really remarkable. Right. No, so this is so Sarah did a fantastic talk today of"
0 days 00:06:16,0 days 00:06:21,SPEAKER 1," answering the real questions that were coming at her on policy questions like what would be Iran,"
0 days 00:06:21,0 days 00:06:25,SPEAKER 1, whether it be North Korea. I'm glad that you agreed with me because she did. And after five or six
0 days 00:06:25,0 days 00:06:29,SPEAKER 1," times of folks going to her, she said, I wasn't part of the legal team. This wouldn't have been a"
0 days 00:06:29,0 days 00:06:33,SPEAKER 1," conversation. I would have been part of. Then April, you came and followed up with basically the"
0 days 00:06:33,0 days 00:06:38,SPEAKER 1," exact same question trying to pin her down and say, you know, were you blindsided? She is not part of"
0 days 00:06:38,0 days 00:06:43,SPEAKER 1, the legal team. She is part of doing my job. Is there a problem with me doing my job by asking
0 days 00:06:43,0 days 00:06:50,SPEAKER 1," the exact same question? No, but but I'm saying if she goes and gives you a pretty blindsided"
0 days 00:06:50,0 days 00:06:56,SPEAKER 1," point, the fact that she was blindsided, it's for her to make it a personal path. I want to jump in here."
0 days 00:06:56,0 days 00:06:59,SPEAKER 2," The reality is she's been perfectly willing to weigh in on this before, right. She calls plenty"
