Start,End,Speaker,Text
0 days 00:00:00,0 days 00:00:03,SPEAKER 1," Just for reminder, this is not a poll nationwide."
0 days 00:00:03,0 days 00:00:05,SPEAKER 1," As you said, this is a poll of debate watchers."
0 days 00:00:05,0 days 00:00:06,SPEAKER 1, That's key.
0 days 00:00:06,0 days 00:00:09,SPEAKER 1," Excuse slightly more Democratic here,"
0 days 00:00:09,0 days 00:00:13,SPEAKER 1, but actually it's our most evenly divided audience
0 days 00:00:13,0 days 00:00:15,SPEAKER 1, of any of the debates so far this season.
0 days 00:00:15,0 days 00:00:16,SPEAKER 1, Let's get to the results.
0 days 00:00:16,0 days 00:00:17,SPEAKER 1, Who won the debate?
0 days 00:00:17,0 days 00:00:21,SPEAKER 1," Hillary Clinton, 52% of debate watchers say she was the winner."
0 days 00:00:21,0 days 00:00:24,SPEAKER 1, 39% say Donald Trump was the winner.
0 days 00:00:24,0 days 00:00:26,SPEAKER 1, That's a closer margin than we had seen
0 days 00:00:26,0 days 00:00:27,SPEAKER 1, in the previous debates there.
0 days 00:00:27,0 days 00:00:29,SPEAKER 1, How about who was on the attack more?
0 days 00:00:29,0 days 00:00:32,SPEAKER 1, Who spent more time attacking their opponent?
0 days 00:00:32,0 days 00:00:37,SPEAKER 1," Donald Trump, 60% of debate watchers say he was more on the attack."
0 days 00:00:37,0 days 00:00:43,SPEAKER 1, 23% say that of Clinton and 15% say they were both attacking their opponents.
0 days 00:00:43,0 days 00:00:45,SPEAKER 1, And what about the fairness of those attacks?
0 days 00:00:45,0 days 00:00:47,SPEAKER 1, Were Trump's attacks fair?
0 days 00:00:47,0 days 00:00:49,SPEAKER 1," A majority of debate watchers, 55% say yes."
0 days 00:00:49,0 days 00:00:51,SPEAKER 1, His attacks on Hillary Clinton were fair.
0 days 00:00:51,0 days 00:00:53,SPEAKER 1, 43% say no.
0 days 00:00:53,0 days 00:00:56,SPEAKER 1, And what about Hillary Clinton's attacks on Donald Trump?
0 days 00:00:56,0 days 00:00:59,SPEAKER 1, And even bigger majority say her attacks were fair.
0 days 00:00:59,0 days 00:01:02,SPEAKER 1, 63% say that about her attacks on Trump.
0 days 00:01:02,0 days 00:01:03,SPEAKER 1, 34% say no.
0 days 00:01:03,0 days 00:01:04,SPEAKER 1, They were not fair.
0 days 00:01:04,0 days 00:01:09,SPEAKER 2," So David, all three of these presidential debates according to our CNN ORC poll,"
0 days 00:01:09,0 days 00:01:13,SPEAKER 2, instant poll of people who watched the debates believe Hillary Clinton won all three.
0 days 00:01:13,0 days 00:01:15,SPEAKER 1, She has gone three and oh here.
0 days 00:01:15,0 days 00:01:16,SPEAKER 1, It's a hat trick for her.
