Start,End,Speaker,Text
0 days 00:00:00,0 days 00:00:02,SPEAKER 2, Game of Thrones was the last nine quests. Did you see Game of Thrones?
0 days 00:00:02,0 days 00:00:04,SPEAKER 1," Yes, I've seen it."
0 days 00:00:04,0 days 00:00:06,SPEAKER 2," I know. You feel bad for even saying it, right?"
0 days 00:00:06,0 days 00:00:08,SPEAKER 2, Yeah.
0 days 00:00:08,0 days 00:00:10,SPEAKER 2," It was okay, right?"
0 days 00:00:10,0 days 00:00:12,SPEAKER 2," Yeah, it was cool."
0 days 00:00:12,0 days 00:00:16,SPEAKER 2," I was so into it, I think, did I overhype it in my head?"
0 days 00:00:16,0 days 00:00:18,SPEAKER 2, I'm sorry.
0 days 00:00:18,0 days 00:00:20,SPEAKER 2," Yeah, I will say the acting is great."
0 days 00:00:20,0 days 00:00:22,SPEAKER 2, The actors are just phenomenal on that show.
0 days 00:00:22,0 days 00:00:24,SPEAKER 2, So I got to get props to those guys.
0 days 00:00:24,0 days 00:00:26,SPEAKER 2, A million Clark.
0 days 00:00:26,0 days 00:00:28,SPEAKER 2, No one else could do that.
0 days 00:00:28,0 days 00:00:30,SPEAKER 2," Kid Harrington, everybody was great."
0 days 00:00:30,0 days 00:00:34,SPEAKER 2," Good day. I was just, I didn't get my, I didn't get my, my thing, my moment."
0 days 00:00:34,0 days 00:00:38,SPEAKER 2," I feel like I wanted a little, I want a little more emotion or something in it."
0 days 00:00:38,0 days 00:00:40,SPEAKER 2, I wanted my cry time.
0 days 00:00:40,0 days 00:00:42,SPEAKER 2," You know, sometimes you get in there, like, I got to, I want everything out of this episode."
0 days 00:00:42,0 days 00:00:44,SPEAKER 2," I want to laugh. I get, no, I didn't want to laugh, sorry."
0 days 00:00:44,0 days 00:00:46,SPEAKER 2, Yeah.
0 days 00:00:46,0 days 00:00:48,SPEAKER 2," In fact, the times that they wanted me to laugh, I didn't want that."
0 days 00:00:48,0 days 00:00:50,SPEAKER 2, I don't want to laugh.
0 days 00:00:50,0 days 00:00:52,SPEAKER 2," Yeah, I don't want to laugh, but I wanted to see a little action."
0 days 00:00:52,0 days 00:00:54,SPEAKER 2, I want a little surprise.
0 days 00:00:54,0 days 00:00:56,SPEAKER 2, And I want a little cry time.
0 days 00:00:56,0 days 00:00:58,SPEAKER 2, And I wanted some things to pay off.
