Start,End,Speaker,Text
0 days 00:00:00,0 days 00:00:04,SPEAKER 2, It's amazing to think about the fervor that surrounded
0 days 00:00:04,0 days 00:00:07,SPEAKER 2, broke back mountain when it was released 11 years ago.
0 days 00:00:07,0 days 00:00:11,SPEAKER 2," Heath, Ang, and I were at the center of a storm that year,"
0 days 00:00:11,0 days 00:00:16,SPEAKER 2, fielding the praise and controversy that came from telling a love story about two men.
0 days 00:00:16,0 days 00:00:20,SPEAKER 2," Standing here tonight, I can't help but think about Heath"
0 days 00:00:20,0 days 00:00:24,SPEAKER 2, and how much he would have loved to witness all of this incredible change
0 days 00:00:24,0 days 00:00:28,SPEAKER 2, that has been affected in the LGBT community in the intervening years.
0 days 00:00:28,0 days 00:00:42,SPEAKER 2, He would be proud to know that he had somehow played a small part in all of it.
0 days 00:00:42,0 days 00:00:44,SPEAKER 1, I know that I am.
0 days 00:00:44,0 days 00:00:48,SPEAKER 2," And even though broke back was very much a movie of its moment in history,"
0 days 00:00:48,0 days 00:00:52,SPEAKER 2, Ang made sure that it would stand the test of time.
0 days 00:00:52,0 days 00:00:56,SPEAKER 2, He kept it simple and quiet with respect for the characters
0 days 00:00:56,0 days 00:00:58,SPEAKER 2, and their corner of the world.
0 days 00:00:58,0 days 00:01:04,SPEAKER 2," He knew that to tell a big story, you have to keep it small."
0 days 00:01:04,0 days 00:01:10,SPEAKER 2," Ang, like any master director, though there aren't many,"
0 days 00:01:10,0 days 00:01:13,SPEAKER 2, is an extraordinary teacher.
0 days 00:01:13,0 days 00:01:17,SPEAKER 2, And while some authors lead their troops with flash and bang working
0 days 00:01:17,0 days 00:01:23,SPEAKER 2, with Ang is a master class in silence.
0 days 00:01:23,0 days 00:01:26,SPEAKER 2, We don't always need to speak in order to communicate.
0 days 00:01:26,0 days 00:01:30,SPEAKER 2, And it's a lesson that rings in my ears often.
0 days 00:01:30,0 days 00:01:36,SPEAKER 2, I remember the day we shot our big love scene.
0 days 00:01:36,0 days 00:01:39,SPEAKER 2," When we finished the scene, both Heath and I, we got up,"
0 days 00:01:39,0 days 00:01:44,SPEAKER 2, and we looked over to see a huge smile on Ang's face.
0 days 00:01:44,0 days 00:01:48,SPEAKER 2," And I was surprised because although you might not know it,"
0 days 00:01:48,0 days 00:01:51,SPEAKER 2, Ang has a really great sense of humor.
0 days 00:01:52,0 days 00:01:55,SPEAKER 2, He rarely smiled on set.
0 days 00:01:55,0 days 00:02:00,SPEAKER 2, But this was a shit-eating grin.
0 days 00:02:00,0 days 00:02:02,SPEAKER 2," And so naturally I walked up to Ang,"
0 days 00:02:02,0 days 00:02:07,SPEAKER 2, and I was excited to see any sort of emotion across his face.
0 days 00:02:07,0 days 00:02:12,SPEAKER 2," And eagerly, I asked, I was like, how was that?"
0 days 00:02:12,0 days 00:02:13,SPEAKER 1, How was that?
0 days 00:02:13,0 days 00:02:15,SPEAKER 2," You know, you like the scene?"
0 days 00:02:15,0 days 00:02:19,SPEAKER 2, And he just was nodding in a really awkward way.
0 days 00:02:19,0 days 00:02:23,SPEAKER 1," And he just said, so gay."
0 days 00:02:36,0 days 00:02:39,SPEAKER 2, That was the first of many times that he'd say that.
0 days 00:02:39,0 days 00:02:47,SPEAKER 2, But what makes him so unique
0 days 00:02:47,0 days 00:02:51,SPEAKER 2, and so deserving of our highest honor
0 days 00:02:51,0 days 00:02:57,SPEAKER 2, is that Ang realizes that each film is elementally different.
0 days 00:02:57,0 days 00:03:00,SPEAKER 2, And instead of choosing scripts that are in his wheelhouse
0 days 00:03:00,0 days 00:03:03,SPEAKER 2," or bending narratives to meet his style,"
0 days 00:03:03,0 days 00:03:05,SPEAKER 2, he meets his stories where they are.
0 days 00:03:05,0 days 00:03:07,SPEAKER 2, And he gives them what they need.
