Start,End,Speaker,Text
0 days 00:00:00,0 days 00:00:05,SPEAKER 1," Now, as we head into the debates, Joe Biden speaking out today, trying to tram down backlash"
0 days 00:00:05,0 days 00:00:11,SPEAKER 1, over how he invoked his working relationship with Southern segregation as senators inside
0 days 00:00:11,0 days 00:00:15,SPEAKER 1," the Democratic Caucus in the past, which sparked a war of words with many candidates including"
0 days 00:00:15,0 days 00:00:17,SPEAKER 1, Cory Booker.
0 days 00:00:17,0 days 00:00:21,SPEAKER 1," What he said, though, the way he said it caused a lot of hurt and harm in communities like"
0 days 00:00:21,0 days 00:00:28,SPEAKER 1," the one I live in by saying, hey, this about racist, called me son, didn't call me boy."
0 days 00:00:28,0 days 00:00:32,SPEAKER 1," It evoked a lack of understanding the ignorance, a hurtful ignorance."
0 days 00:00:32,0 days 00:00:38,SPEAKER 1," I do understand the consequence of the word boy, but it wasn't said in any of that context"
0 days 00:00:38,0 days 00:00:39,SPEAKER 1, at all.
0 days 00:00:39,0 days 00:00:44,SPEAKER 1," And to the extent that anybody thought that I meant something different, that is not what"
0 days 00:00:44,0 days 00:00:46,SPEAKER 1, I intended.
0 days 00:00:46,0 days 00:00:50,SPEAKER 1," Biden has been doing far less press than most of his rivals, but he may be jumping all over"
0 days 00:00:50,0 days 00:00:55,SPEAKER 1, this topic now to try to diffuse it before he takes the debate stage on Thursday.
0 days 00:00:55,0 days 00:00:59,SPEAKER 1, Today's New York Times emphasizes that Biden tackled the issue head on with that interview
0 days 00:00:59,0 days 00:01:04,SPEAKER 1," with Al Sharpton, who was, of course, both an MSNBC host, and a civil rights leader versed"
0 days 00:01:04,0 days 00:01:05,SPEAKER 1, in these issues.
0 days 00:01:05,0 days 00:01:09,SPEAKER 1," Now, the rev joins us live on all of this later in the special, and while that has been the big"
0 days 00:01:09,0 days 00:01:13,SPEAKER 1," debate between Democrats, when it comes to taking on Trump, the president fueling more debates"
0 days 00:01:13,0 days 00:01:17,SPEAKER 1, with this hasty announcement this weekend that he's delaying his much touted raids to round
0 days 00:01:17,0 days 00:01:20,SPEAKER 1, up immigrant families that were supposed to occur this week.
0 days 00:01:20,0 days 00:01:24,SPEAKER 1, And a walk back that really echoes his last minute decision to also hold back on that potential
0 days 00:01:24,0 days 00:01:26,SPEAKER 1, strike against Iran.
0 days 00:01:26,0 days 00:01:30,SPEAKER 1," In both cases, most Democratic candidates do welcome these outcomes, but they're still"
0 days 00:01:30,0 days 00:01:33,SPEAKER 1, slamming the president for his process and motivations.
0 days 00:01:33,0 days 00:01:37,SPEAKER 1," Now, does that make for a clear opening argument when they get out to that debate stage?"
0 days 00:01:37,0 days 00:01:41,SPEAKER 1," Let's get right to it, kicking off our special coverage with this special panel for New York"
0 days 00:01:41,0 days 00:01:47,SPEAKER 1," Times Chief Hall Reigns, Voto Latino CEO Maria Teresa Cumar, and Rutgers professor and author"
0 days 00:01:47,0 days 00:01:48,SPEAKER 1, Brittany Cooper.
0 days 00:01:48,0 days 00:01:51,SPEAKER 1, Thanks to all of you for joining us this Sunday night.
0 days 00:01:51,0 days 00:01:52,SPEAKER 1," Thanks, Ari."
0 days 00:01:52,0 days 00:01:53,SPEAKER 1, You're welcome to be here.
0 days 00:01:53,0 days 00:01:54,SPEAKER 1, Great to see you.
0 days 00:01:54,0 days 00:01:58,SPEAKER 1," I give it to you first, looking at where Joe Biden got to, and is this diffused before"
0 days 00:01:58,0 days 00:01:59,SPEAKER 1, he takes the stage?
0 days 00:01:59,0 days 00:02:04,SPEAKER 2," Look, I think that we've got two priorities going into 2021, as we've got to get Trump out"
0 days 00:02:04,0 days 00:02:05,SPEAKER 2, of office.
0 days 00:02:05,0 days 00:02:08,SPEAKER 2, The second is that we've got to have a progressive agenda.
0 days 00:02:08,0 days 00:02:13,SPEAKER 2, And the problem for Biden is that he represents a bygone era of Democratic politics that might
0 days 00:02:13,0 days 00:02:18,SPEAKER 2," make people initially feel secure in him saying that he can work with a vowed racist, but what"
0 days 00:02:18,0 days 00:02:24,SPEAKER 2, I needed Biden to do was to unequivocally condemn the language and actions of those men and
0 days 00:02:24,0 days 00:02:26,SPEAKER 2, the resurgence of people who think that way.
0 days 00:02:26,0 days 00:02:31,SPEAKER 2," That's the reason that many of these folks are speaking out, because Biden tried to use them"
0 days 00:02:31,0 days 00:02:35,SPEAKER 2," to talk about the way in which he could be by partisan, before actually saying, I abhor"
0 days 00:02:35,0 days 00:02:40,SPEAKER 2," every single thing that they stand for, and now this is a feather in my cap that I can"
0 days 00:02:40,0 days 00:02:42,SPEAKER 2, also work with people who are diametrically opposed.
0 days 00:02:42,0 days 00:02:46,SPEAKER 2," I think that's what he intended, but that's not what he delivered, and what we need in this"
0 days 00:02:46,0 days 00:02:51,SPEAKER 2," moment is a kind of moral clarity, and that moral clarity begins with condemning a vowed"
0 days 00:02:51,0 days 00:02:52,SPEAKER 1, racist.
0 days 00:02:52,0 days 00:02:58,SPEAKER 1," Because he also look a little too casual in how he's sort of rolling the stuff out, because"
0 days 00:02:58,0 days 00:03:01,SPEAKER 1, there are many ways to talk about working across the aisle.
0 days 00:03:01,0 days 00:03:06,SPEAKER 1," I believe the guy at the top of that ticket, Barack Obama, talked about it plenty without"
0 days 00:03:06,0 days 00:03:08,SPEAKER 1, ever stepping in something like this.
0 days 00:03:08,0 days 00:03:12,SPEAKER 2," Right, I mean, Joe Biden always steps in it, though, but there is, you know, I mean, this"
0 days 00:03:12,0 days 00:03:16,SPEAKER 2," is like, you know, it's like when he called Barack Obama clean and articulate."
0 days 00:03:16,0 days 00:03:18,SPEAKER 2, He has a history of stepping in things.
0 days 00:03:18,0 days 00:03:22,SPEAKER 2," The challenge is that he feels entitled, and he feels dismissive, and it's the wrong,"
0 days 00:03:22,0 days 00:03:26,SPEAKER 2, he's not on pitch and on tone for this moment.
0 days 00:03:26,0 days 00:03:31,SPEAKER 2," People feel very on edge about the political atmosphere that Donald Trump has ushered in,"
0 days 00:03:31,0 days 00:03:36,SPEAKER 2," where we're seeing levels of racism that we haven't seen in our lifetime, and in 40 years"
0 days 00:03:36,0 days 00:03:38,SPEAKER 2, of democratic politics.
0 days 00:03:38,0 days 00:03:43,SPEAKER 2, And so Biden really has to be very clear about what side he stands on.
0 days 00:03:43,0 days 00:03:47,SPEAKER 2," And right now, with him being dismissive, that makes people, people of color who are feeling"
0 days 00:03:47,0 days 00:03:50,SPEAKER 2," especially vulnerable, feel like, can you really hear our concerns?"
0 days 00:03:50,0 days 00:03:55,SPEAKER 2," And the Democratic Party is the party of people of color in this moment, and that's going to"
0 days 00:03:55,0 days 00:03:56,SPEAKER 2, be his core constituency.
0 days 00:03:56,0 days 00:04:01,SPEAKER 2," And so if he can't appeal to our very real feelings about racism, then he's not going to be"
0 days 00:04:01,0 days 00:04:02,SPEAKER 1, the candidate.
0 days 00:04:02,0 days 00:04:06,SPEAKER 1," And Maria, take a listen to some of the other candidates that were in South Carolina, which"
0 days 00:04:06,0 days 00:04:11,SPEAKER 1, like Florida has a very diverse voting population in the primary and the general election to stay.
0 days 00:04:11,0 days 00:04:14,SPEAKER 1, Take a look.
0 days 00:04:14,0 days 00:04:21,SPEAKER 1, We defeat Trump by running a campaign of energy and enthusiasm that substantially grows
0 days 00:04:21,0 days 00:04:22,SPEAKER 1, voter turnout.
0 days 00:04:22,0 days 00:04:27,SPEAKER 1, Does that mean he wants to take us back before the Civil Rights Act was enacted?
0 days 00:04:27,0 days 00:04:31,SPEAKER 1, Does he mean he wants to take us back before Roe v Wade was enacted?
0 days 00:04:31,0 days 00:04:33,SPEAKER 1, Because we're not going back.
0 days 00:04:33,0 days 00:04:39,SPEAKER 1, Donald Trump started the riot and Lindsey Graham and Mitch McConnell are the looters.
0 days 00:04:39,0 days 00:04:41,SPEAKER 1, Beating Donald Trump is the floor.
0 days 00:04:41,0 days 00:04:42,SPEAKER 1, It's not the ceiling.
0 days 00:04:42,0 days 00:04:49,SPEAKER 1," And Donald Trump gets us out of the valley, but it does not get us to the mountain top."
0 days 00:04:49,0 days 00:04:53,SPEAKER 1, So they're all striking the same note and saying that they want energy.
0 days 00:04:53,0 days 00:04:56,SPEAKER 1, But what I'm seeing right now is that it's too much about Donald Trump.
0 days 00:04:56,0 days 00:05:00,SPEAKER 1," And a lot of these voters are going to come and say, how are you going to make my life different?"
0 days 00:05:00,0 days 00:05:03,SPEAKER 1," And when I go on the ground and I start talking to different individuals, trying to figure"
0 days 00:05:03,0 days 00:05:07,SPEAKER 1," out, well, what is it about the Democratic Party versus Trump?"
0 days 00:05:07,0 days 00:05:10,SPEAKER 1," For Democrats, it's all about not Trump."
0 days 00:05:10,0 days 00:05:14,SPEAKER 1," The opportunity for the Democrats, though, is how are you going to inspire the new voter?"
0 days 00:05:14,0 days 00:05:17,SPEAKER 1, And that is the market share that they have seen.
0 days 00:05:17,0 days 00:05:20,SPEAKER 1," You're going to have 12 million more young voters for the very first time, the baby boomers,"
0 days 00:05:20,0 days 00:05:24,SPEAKER 1," and the mid-term election, one out of six voters were young voters."
0 days 00:05:24,0 days 00:05:26,SPEAKER 1, So how are you going to persuade them to come to you?
0 days 00:05:26,0 days 00:05:27,SPEAKER 1, Number one.
0 days 00:05:27,0 days 00:05:29,SPEAKER 1," And number two, you have 15 million unregistered Latinos."
0 days 00:05:29,0 days 00:05:34,SPEAKER 1," But when they're registered, they're in Florida, but they're also in Georgia, Texas, Arizona."
0 days 00:05:34,0 days 00:05:35,SPEAKER 1, They are in the primary states.
0 days 00:05:35,0 days 00:05:40,SPEAKER 1, And so how are you going to ignite that ability for them to get excited and say you because
0 days 00:05:40,0 days 00:05:44,SPEAKER 1," the majority of Democrats, they're going to go out and turn out for whoever the candidate"
0 days 00:05:44,0 days 00:05:45,SPEAKER 1, is.
0 days 00:05:45,0 days 00:05:48,SPEAKER 1," What they need to do, though, is they need to be able to inspire that new base."
0 days 00:05:48,0 days 00:05:52,SPEAKER 1," And then when you look at what people are going to actually see, this is the first time people"
0 days 00:05:52,0 days 00:05:53,SPEAKER 1, really see these candidates.
0 days 00:05:53,0 days 00:05:55,SPEAKER 1, We know that historically.
0 days 00:05:55,0 days 00:05:59,SPEAKER 1, But they're going to see a little bit of a lot of candidates.
0 days 00:05:59,0 days 00:06:02,SPEAKER 1," And you know, you remember Goldilocks now."
0 days 00:06:02,0 days 00:06:05,SPEAKER 1, They put a Goldilocks question in some of the debate polling that really just give you
0 days 00:06:05,0 days 00:06:12,SPEAKER 1," a quick snapshot, asking, basically, Democratic leaning voters, are there too many candidates,"
0 days 00:06:12,0 days 00:06:13,SPEAKER 1," too few, or about right?"
0 days 00:06:13,0 days 00:06:21,SPEAKER 1," And we'll put this up here, 72% of them leaning voters say there are just too many candidates."
0 days 00:06:21,0 days 00:06:23,SPEAKER 1, How does that play into what they have to do on that stage?
0 days 00:06:23,0 days 00:06:27,SPEAKER 1," Well, it makes their work very hard."
0 days 00:06:27,0 days 00:06:33,SPEAKER 1," But you know, when I was covering presidential years, my favorite part of being a journalist,"
0 days 00:06:33,0 days 00:06:40,SPEAKER 1, I loved this time of year because it's a voice of discovery for the voters and the candidates.
0 days 00:06:40,0 days 00:06:45,SPEAKER 1, And the candidates are trying to discover whether they are really presidential candidates or
0 days 00:06:45,0 days 00:06:47,SPEAKER 1, want to be.
0 days 00:06:47,0 days 00:06:50,SPEAKER 1, And so I love the drama of this.
0 days 00:06:50,0 days 00:06:53,SPEAKER 1, And I thought there's no need piling on Biden.
0 days 00:06:53,0 days 00:06:55,SPEAKER 1, He had a bed two weeks.
0 days 00:06:55,0 days 00:07:01,SPEAKER 1, And I thought he had a very weak showing on Saturday because he ran through his speech as
0 days 00:07:01,0 days 00:07:04,SPEAKER 1, if he were on autopilot.
0 days 00:07:04,0 days 00:07:09,SPEAKER 1, His managers have a unique tactical problem in presidential politics.
0 days 00:07:09,0 days 00:07:12,SPEAKER 1, They can't let Biden be Biden.
0 days 00:07:12,0 days 00:07:14,SPEAKER 1, He can talk himself out of the race.
0 days 00:07:14,0 days 00:07:20,SPEAKER 1," And it's much too early to say he's going to do that, but he had a really bad two weeks."
0 days 00:07:20,0 days 00:07:22,SPEAKER 1," And on Saturday, he was rope adoping."
0 days 00:07:22,0 days 00:07:28,SPEAKER 1, He was acting like he is going to coast to an inherited position.
0 days 00:07:28,0 days 00:07:32,SPEAKER 1, I had to kept the folks as I went through.
0 days 00:07:32,0 days 00:07:35,SPEAKER 1," And I want to hear your handicap, but you know, didn't it work for Hillary Clinton to just"
0 days 00:07:35,0 days 00:07:37,SPEAKER 1, be a front runner in 2008?
0 days 00:07:37,0 days 00:07:39,SPEAKER 1," I mean, isn't that just the way to do it?"
0 days 00:07:39,0 days 00:07:40,SPEAKER 1, It would work.
0 days 00:07:40,0 days 00:07:41,SPEAKER 1," No, and I think it worked."
0 days 00:07:41,0 days 00:07:42,SPEAKER 1, It's a joke.
0 days 00:07:42,0 days 00:07:43,SPEAKER 1, Yeah.
0 days 00:07:43,0 days 00:07:44,SPEAKER 1, It was a joke.
0 days 00:07:44,0 days 00:07:45,SPEAKER 1, It was a joke.
0 days 00:07:45,0 days 00:07:46,SPEAKER 1, It was my point being that where did the Democrats come?
0 days 00:07:46,0 days 00:07:47,SPEAKER 1, It was a Sunday night.
0 days 00:07:47,0 days 00:07:48,SPEAKER 1," You know, a long weekend."
0 days 00:07:48,0 days 00:07:49,SPEAKER 1, A lot of it.
0 days 00:07:49,0 days 00:07:50,SPEAKER 1, We were not really answering that question.
0 days 00:07:50,0 days 00:07:51,SPEAKER 1, It was a joke.
0 days 00:07:51,0 days 00:07:52,SPEAKER 1, It was a joke.
0 days 00:07:52,0 days 00:07:53,SPEAKER 1," Oh, that's a howl."
0 days 00:07:53,0 days 00:07:55,SPEAKER 1, And then you just to finish up the point you're making.
0 days 00:07:55,0 days 00:08:00,SPEAKER 1," Where is it that these Democrats, some of them anyway, watch this happen before and then"
0 days 00:08:00,0 days 00:08:02,SPEAKER 1," say, oh, yeah, I should do a Rose Garden."
0 days 00:08:02,0 days 00:08:06,SPEAKER 1, You're saying I'm a hominolic rope adope strategy and wait around as if that's ever worked?
0 days 00:08:06,0 days 00:08:07,SPEAKER 1, No.
0 days 00:08:07,0 days 00:08:09,SPEAKER 1, It doesn't work.
0 days 00:08:09,0 days 00:08:14,SPEAKER 1," You sort of took us all by surprise with that question, but let me try to tease out something"
0 days 00:08:14,0 days 00:08:15,SPEAKER 1, here.
0 days 00:08:15,0 days 00:08:20,SPEAKER 1, And that is who got what they needed on this very crowded stage?
0 days 00:08:20,0 days 00:08:26,SPEAKER 1, And I thought that Kamala Harris and Cory Booker came away in very good shape because
0 days 00:08:26,0 days 00:08:32,SPEAKER 1, they projected themselves as real contenders for the minority vote in South Carolina.
0 days 00:08:32,0 days 00:08:35,SPEAKER 1, And they were right perfectly on pitch.
0 days 00:08:35,0 days 00:08:41,SPEAKER 1," Senator Harris with her invocation of the movement, Cory Booker with his invocation of Martin Luther"
0 days 00:08:41,0 days 00:08:42,SPEAKER 1, King's dream.
0 days 00:08:42,0 days 00:08:48,SPEAKER 1, And the other people who had a really good weekend was Elizabeth Warren because she has dominated
0 days 00:08:48,0 days 00:08:52,SPEAKER 1, the issues discussion with Medicare for All.
